school_year,nces_school_id,nces_lea_id,school_name,district_name,lea_name,state,county_name,county_fips,latitude,longitude,distance_downtown_kc_miles,operational_status,is_operating,school_type,is_charter,grade_span,grade_span_low,grade_span_high,lowest_grade,highest_grade,locale_code_year,locale_desc_year,locale_group_year,locale_code,locale_desc,locale_group,virtual_status_desc,is_virtual,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,has_pre_k,is_standalone_pk,classroom_teacher_fte,teacher_fte_valid,students_per_classroom_teacher_fte_allgrades,frl_eligible,frl_rate,frl_observed,analytical_stratum,years_observed_count,years_operating_count,first_observed_school_year,last_observed_school_year,balanced_panel_eligible,grade_span_changed_any,lea_changed_any,school_type_changed_any,locale_changed_any,locale_code_fixed_2024_2025,locale_group_fixed_2024_2025,school_level
2014-2015,200549001758,2005490,Prairie Ridge Elementary School,De Soto,De Soto,KS,Johnson County,20091,39.022656,-94.838433,15.03,1,True,Regular School,False,KG-05,KG,05,KG,05,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,526.0,0.0,526.0,83.0,False,False,33.5,True,15.7,21.0,0.0399,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,21,Suburb,Primary
2014-2015,200549001871,2005490,Mill Creek Middle School,De Soto,De Soto,KS,Johnson County,20091,38.983588,-94.880259,18.19,1,True,Regular School,False,06-08,06,08,06,08,41,Rural: Fringe,Rural,41,Rural: Fringe,Rural,Not reported,False,687.0,0.0,687.0,0.0,False,False,41.9,True,16.4,69.0,0.1004,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,41,Rural,Middle
2014-2015,200549001881,2005490,Horizon Elementary,De Soto,De Soto,KS,Johnson County,20091,38.997753,-94.845509,16.09,1,True,Regular School,False,KG-05,KG,05,KG,05,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,550.0,0.0,550.0,103.0,False,False,33.3,True,16.52,67.0,0.1218,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,21,Suburb,Primary
2014-2015,200549002021,2005490,Belmont Elementary School,De Soto,De Soto,KS,Johnson County,20091,39.02473,-94.86595,16.37,1,True,Regular School,False,PK-05,PK,05,PK,05,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,439.0,121.0,318.0,52.0,True,False,27.3,True,16.08,48.0,0.1093,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,Primary
2014-2015,200564001130,2005640,Pleasant Ridge Middle,Easton,Easton,KS,Leavenworth County,20103,39.36301,-95.055995,31.28,1,True,Regular School,False,06-08,06,08,06,08,42,Rural: Distant,Rural,42,Rural: Distant,Rural,Not reported,False,162.0,0.0,162.0,0.0,False,False,13.9,True,11.65,60.0,0.3704,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,42,Rural,Middle
2014-2015,200564001131,2005640,Pleasant Ridge High,Easton,Easton,KS,Leavenworth County,20103,39.362947,-95.055995,31.27,1,True,Regular School,False,09-12,09,12,09,12,42,Rural: Distant,Rural,42,Rural: Distant,Rural,Not reported,False,231.0,0.0,231.0,0.0,False,False,22.5,True,10.27,80.0,0.3463,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,42,Rural,High
2014-2015,200564001773,2005640,Pleasant Ridge Elementary,Easton,Easton,KS,Leavenworth County,20103,39.35875,-95.060067,31.29,1,True,Regular School,False,PK-05,PK,05,PK,05,42,Rural: Distant,Rural,42,Rural: Distant,Rural,Not reported,False,246.0,10.0,236.0,37.0,True,False,20.4,True,12.06,98.0,0.3984,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,42,Rural,Primary
2014-2015,200633000046,2006330,Bradley Elem,Ft Leavenworth,Ft Leavenworth,KS,Leavenworth County,20103,39.33967,-94.938092,25.29,1,True,Regular School,False,KG-06,KG,06,KG,06,31,Town: Fringe,Town,31,Town: Fringe,Town,Not reported,False,496.0,0.0,496.0,90.0,False,False,34.1,True,14.55,42.0,0.0847,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,31,Town,Primary
2014-2015,200633000047,2006330,Eisenhower Elem,Ft Leavenworth,Ft Leavenworth,KS,Leavenworth County,20103,39.340142,-94.917294,24.48,1,True,Regular School,False,PK-06,PK,06,PK,06,31,Town: Fringe,Town,31,Town: Fringe,Town,Not reported,False,482.0,10.0,472.0,76.0,True,False,35.0,True,13.77,75.0,0.1556,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,31,Town,Primary
2014-2015,200633000048,2006330,MacArthur Elem,Ft Leavenworth,Ft Leavenworth,KS,Leavenworth County,20103,39.345766,-94.931319,25.3,1,True,Regular School,False,PK-06,PK,06,PK,06,31,Town: Fringe,Town,31,Town: Fringe,Town,Not reported,False,462.0,11.0,451.0,63.0,True,False,33.0,True,14.0,65.0,0.1407,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,31,Town,Primary
2014-2015,200633000049,2006330,Patton Jr High,Ft Leavenworth,Ft Leavenworth,KS,Leavenworth County,20103,39.333794,-94.920638,24.32,1,True,Regular School,False,07-09,07,09,07,09,31,Town: Fringe,Town,31,Town: Fringe,Town,Not reported,False,325.0,0.0,325.0,0.0,False,False,25.2,True,12.9,30.0,0.0923,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,31,Town,Middle
2014-2015,200642000120,2006420,Gardner Elem,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,20091,38.812307,-94.924226,27.36,1,True,Regular School,False,PK-04,PK,04,PK,04,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,340.0,24.0,316.0,60.0,True,False,23.5,True,14.47,179.0,0.5265,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,Primary
2014-2015,200642000122,2006420,Gardner Edgerton High,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,20091,38.817084,-94.939091,27.68,1,True,Regular School,False,09-12,09,12,09,12,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,1485.0,0.0,1485.0,0.0,False,False,84.5,True,17.57,523.0,0.3522,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,High
2014-2015,200642000123,2006420,Edgerton Elem,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,20091,38.765448,-95.015279,33.1,1,True,Regular School,False,PK-04,PK,04,PK,04,41,Rural: Fringe,Rural,41,Rural: Fringe,Rural,Not reported,False,178.0,22.0,156.0,32.0,True,False,15.5,True,11.48,84.0,0.4719,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,41,Rural,Primary
2014-2015,200642000997,2006420,Sunflower Elementary,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,20091,38.823679,-94.928149,26.94,1,True,Regular School,False,PK-04,PK,04,PK,04,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,388.0,22.0,366.0,77.0,True,False,22.0,True,17.64,75.0,0.1933,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,Primary
2014-2015,200642001716,2006420,Moonlight Elementary School,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,20091,38.803003,-94.911149,27.38,1,True,Regular School,False,PK-04,PK,04,PK,04,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,342.0,27.0,315.0,70.0,True,False,24.1,True,14.19,169.0,0.4942,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,Primary
2014-2015,200642001780,2006420,Madison Elementary,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,20091,38.819136,-94.943847,27.76,1,True,Regular School,False,PK-04,PK,04,PK,04,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,533.0,55.0,478.0,93.0,True,False,29.5,True,18.07,106.0,0.1989,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,Primary
2014-2015,200642001824,2006420,Pioneer Ridge Middle School,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,20091,38.833924,-94.962886,27.8,1,True,Regular School,False,05-08,05,08,05,08,41,Rural: Fringe,Rural,41,Rural: Fringe,Rural,Not reported,False,505.0,0.0,505.0,0.0,False,False,39.4,True,12.82,134.0,0.2653,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,True,21,Suburb,Middle
2014-2015,200642001825,2006420,Nike Elementary,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,20091,38.775167,-94.929405,29.48,1,True,Regular School,False,PK-04,PK,04,PK,04,41,Rural: Fringe,Rural,41,Rural: Fringe,Rural,Not reported,False,374.0,22.0,352.0,70.0,True,False,22.5,True,16.62,76.0,0.2032,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,41,Rural,Primary
2014-2015,200642001878,2006420,Wheatridge Middle School,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,20091,38.813579,-94.922269,27.23,1,True,Regular School,False,05-08,05,08,05,08,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,492.0,0.0,492.0,0.0,False,False,34.3,True,14.34,206.0,0.4187,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,Middle
2014-2015,200642002070,2006420,Grand Star Elementary,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,20091,38.806042,-94.91995,27.53,1,True,Regular School,False,PK-04,PK,04,PK,04,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,417.0,42.0,375.0,65.0,True,False,29.0,True,14.38,179.0,0.4293,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,Primary
2014-2015,200642002076,2006420,Trail Ridge Middle School,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,20091,38.805619,-94.917351,27.46,3,True,Regular School,False,05-08,05,08,05,08,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,631.0,0.0,631.0,0.0,False,False,41.3,True,15.28,249.0,0.3946,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,Middle
2014-2015,200795001388,2007950,Banneker Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,39.1288,-94.61978,2.88,1,True,Regular School,False,KG-05,KG,05,KG,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,368.0,0.0,368.0,57.0,False,False,25.0,True,14.72,356.0,0.9674,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,12,City,Primary
