nces_lea_id,district_name,state,county_primary,operating_schools_count,regular_schools_count,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,enrollment_elem,enrollment_middle,enrollment_high,enrollment_ungraded,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_reported_fte,teachers_k12_fte,teachers_sum_diff_reported,paraprofessionals_fte,instructional_coordinators_fte,counselors_fte,psychologists_fte,student_support_staff_fte,librarians_fte,school_administrators_fte,school_admin_support_fte,lea_administrators_fte,lea_admin_support_fte,other_support_staff_fte,total_staff_fte,idea_students,sped_teacher_fte,sped_paraprofessional_fte,english_learner_students,title3_teacher_count,idea_students_per_sped_teacher_fte,students_per_teacher_fte_k12,students_per_teacher_para_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,psychologists_per_1000,student_support_per_1000,coordinators_per_1000,school_administrators_per_1000,school_year
2008430,Leavenworth,KS,Leavenworth County,8,8,3269,96,3173,189,1116,631,1237,0,7.0,17.75,125.75,77.17,0.0,227.67,220.67,0.0,107.0,12.5,11.0,5.0,44.0,0.33,7.0,18.0,2.0,11.0,84.0,531.5,,,,,,,14.38,9.68,69.55,33.72,3.47,1.58,13.87,3.94,2.21,2024-2025
2008970,Louisburg,KS,Miami County,5,5,1745,104,1641,93,610,382,556,0,2.85,8.8,63.35,37.12,0.0,112.12,109.27,0.0,17.5,0.0,1.33,2.0,5.2,2.35,4.5,8.0,1.0,3.8,59.0,217.8,,,,,,,15.02,12.94,66.59,10.66,0.81,1.22,3.17,0.0,2.74,2024-2025
2010140,Olathe,KS,Johnson County,52,52,28195,696,27499,1868,10053,6266,9193,119,48.33,260.0,1201.57,679.42,0.0,2189.32,2140.99,0.0,655.5,61.95,82.43,36.0,262.5,48.5,65.3,103.0,4.9,22.0,552.9,4116.7,,,,,,,12.84,9.83,77.86,23.84,3.0,1.31,9.55,2.25,2.37,2024-2025
2010260,Osawatomie,KS,Miami County,5,5,1021,103,918,69,341,195,311,2,6.83,6.33,44.58,27.5,0.0,85.24,78.41,0.0,13.0,3.0,3.0,1.5,8.0,1.0,4.0,7.0,2.0,4.0,44.0,177.75,,,,,,,11.71,10.04,85.41,14.16,3.27,1.63,8.71,3.27,4.36,2024-2025
2010500,Paola,KS,Miami County,4,4,1785,34,1751,111,610,429,601,0,2.75,9.94,78.06,40.75,0.0,131.5,128.75,0.0,256.0,2.0,2.0,0.0,45.0,0.0,4.0,15.0,2.0,6.0,30.0,495.5,,,,,,,13.6,4.55,73.53,146.2,1.14,0.0,25.7,1.14,2.28,2024-2025
2010680,Piper-Kansas City,KS,Wyandotte County,4,4,2840,129,2711,170,944,681,916,0,11.5,13.66,109.58,63.49,0.0,198.23,186.73,0.0,27.4,10.0,9.0,4.0,19.2,3.2,7.0,10.0,1.0,5.0,19.4,315.12,,,,,,,14.52,12.66,68.88,10.11,3.32,1.48,7.08,3.69,2.58,2024-2025
2011640,Shawnee Mission Pub Sch,KS,Johnson County,45,45,26513,739,25774,1867,9960,5881,8038,28,67.98,218.1,1015.35,558.56,0.0,1859.99,1792.01,0.0,562.7,116.04,33.67,25.0,221.5,16.71,70.8,83.0,8.0,50.5,489.3,3537.2,,,,,,,14.38,10.95,69.53,21.83,1.31,0.97,8.59,4.5,2.75,2024-2025
2011850,Spring Hill,KS,Johnson County,11,11,5860,149,5711,374,2020,1375,1884,58,9.42,45.43,206.03,103.46,0.0,364.34,354.92,-0.0,59.4,13.67,12.5,6.0,28.3,8.5,17.0,25.2,2.0,11.1,62.0,612.1,,,,,,,16.09,13.78,62.15,10.4,2.19,1.05,4.96,2.39,2.98,2024-2025
2012000,Blue Valley,KS,Johnson County,37,37,22252,456,21796,1417,8088,5130,7161,0,32.2,289.66,834.3,516.31,0.0,1672.47,1640.27,0.0,361.9,47.5,63.5,24.6,208.5,40.2,46.33,85.0,2.0,64.6,311.4,2932.7,,,,,,,13.29,10.89,75.26,16.6,2.91,1.13,9.57,2.18,2.13,2024-2025
2012210,Tonganoxie,KS,Leavenworth County,3,3,1988,73,1915,133,713,434,635,0,4.96,13.9,79.16,48.85,0.0,146.87,141.91,0.0,43.7,14.53,4.5,4.0,12.5,0.0,2.0,9.0,1.5,3.8,48.3,293.7,,,,,,,13.49,10.32,74.1,22.82,2.35,2.09,6.53,7.59,1.04,2024-2025
