school_year,nces_lea_id,district_name,lea_name,state,county_primary,operating_schools_count,regular_schools_count,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_reported_fte,teachers_k12_fte,teachers_k12_fte_components,teachers_sum_diff_reported,paraprofessionals_fte,instructional_coordinators_fte,counselors_fte,psychologists_fte,student_support_staff_fte,librarians_fte,school_administrators_fte,school_admin_support_fte,lea_administrators_fte,lea_admin_support_fte,other_support_staff_fte,total_staff_fte,teacher_k12_valid,students_per_teacher_fte_k12,students_per_teacher_para_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,school_administrators_per_1000,lea_total_operating_schools_national,lea_operating_schools_in_region,lea_operating_schools_outside_region,lea_geographic_coverage_share,lea_fully_within_region
2023-2024,2918220,LAWSON R-XIV,LAWSON R-XIV,MO,Ray County,3,3,1114,0,1114,68,1.15,4.84,24.77,48.89,0.0,79.65,78.5,78.5,0.0,14.5,1.0,2.75,0.0,5.1,0.0,6.0,0.0,1.0,0.0,0.0,110.0,True,14.19,11.98,70.47,13.02,2.47,5.39,3,3,0,1.0,True
2023-2024,2918300,LEE'S SUMMIT R-VII,LEE'S SUMMIT R-VII,MO,Jackson County,29,27,17797,284,17513,1115,24.75,71.0,458.45,660.72,0.0,1214.92,1190.17,1190.17,0.0,210.0,11.0,52.5,7.0,154.0,21.0,66.5,0.0,8.0,163.0,641.0,2548.92,True,14.71,12.51,67.96,11.99,3.0,3.8,29,29,0,1.0,True
2023-2024,2918540,LIBERTY 53,LIBERTY 53,MO,Clay County,20,17,12154,28,12126,759,25.8,47.56,336.26,462.39,0.0,872.01,846.21,846.21,0.0,129.12,12.01,39.6,10.0,55.63,15.35,46.7,0.0,6.0,100.0,609.88,1896.3,True,14.33,12.43,69.78,10.65,3.27,3.85,20,20,0,1.0,True
2023-2024,2919230,LONE JACK C-6,LONE JACK C-6,MO,Jackson County,2,2,740,46,694,47,1.5,3.45,20.05,30.13,0.0,55.13,53.63,53.63,0.0,7.75,2.63,2.74,0.0,7.0,0.93,3.0,0.0,1.0,7.25,7.5,94.93,True,12.94,11.31,77.28,11.17,3.95,4.32,2,2,0,1.0,True
2023-2024,2921060,MISSOURI CITY 56,MISSOURI CITY 56,MO,Clay County,1,1,19,0,19,0,0.0,0.0,3.7,0.0,0.0,3.7,3.7,3.7,0.0,0.0,0.0,0.1,0.0,0.52,0.2,1.0,0.0,0.38,3.0,2.0,10.9,True,5.14,5.14,194.74,0.0,5.26,52.63,1,1,0,1.0,True
2023-2024,2922800,NORTH KANSAS CITY 74,NORTH KANSAS CITY 74,MO,Clay County,34,32,21015,349,20666,1511,64.0,100.54,575.69,778.31,0.0,1518.54,1454.54,1454.54,0.0,251.2,36.55,50.56,24.0,70.28,29.0,76.0,2.8,8.0,182.06,886.85,3135.84,True,14.21,12.12,70.38,12.16,2.45,3.68,34,34,0,1.0,True
2023-2024,2922830,NORTH PLATTE CO. R-I,NORTH PLATTE CO. R-I,MO,Platte County,5,4,550,0,550,32,0.59,2.38,16.83,28.05,0.0,47.85,47.26,47.26,0.0,8.0,1.61,1.9,0.0,3.29,0.8,2.4,0.0,0.75,0.0,0.0,66.6,True,11.64,9.95,85.93,14.55,3.45,4.36,5,5,0,1.0,True
2023-2024,2923010,OAK GROVE R-VI,OAK GROVE R-VI,MO,Jackson County,4,4,1986,84,1902,128,3.0,7.78,54.53,72.85,0.0,138.16,135.16,135.16,0.0,20.73,6.0,5.0,0.0,5.3,4.0,6.0,1.27,2.0,0.0,0.0,188.46,True,14.07,12.2,71.06,10.9,2.63,3.15,4,4,0,1.0,True
2023-2024,2923220,ORRICK R-XI,ORRICK R-XI,MO,Ray County,2,2,278,14,264,23,0.15,1.18,12.04,14.57,0.0,27.94,27.79,27.79,-0.0,8.0,1.0,1.9,0.0,1.69,0.0,2.95,0.0,1.0,0.0,0.0,44.48,True,9.5,7.38,105.27,30.3,7.2,11.17,2,2,0,1.0,True
2023-2024,2923550,PARK HILL,PARK HILL,MO,Platte County,20,18,11915,398,11517,775,21.0,44.28,344.13,480.96,0.0,890.37,869.37,869.37,0.0,178.99,4.17,34.5,4.0,72.75,19.0,50.0,0.0,6.0,108.0,494.91,1862.69,True,13.25,10.99,75.49,15.54,3.0,4.34,20,20,0,1.0,True
