school_year,crdc_wave,nces_school_id,nces_lea_id,school_name,district_name,state,county_name,county_fips,locale_group,school_level,school_type,operational_status,is_operating,is_charter,is_virtual,school_ptr,enrollment_k12,classroom_teacher_fte,course_code,course_name,subject_area,course_level,num_classes,num_enrolled,num_certified,mean_class_size,certified_share,allocation_wedge
2013-2014,2013-14,200795001388,2007950,BANNEKER ELEM,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,14.21,398.0,28.0,geom,Geometry,Math,Foundation Core,,,,,,
2013-2014,2013-14,200795001388,2007950,BANNEKER ELEM,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,14.21,398.0,28.0,alg2,Algebra II,Math,Foundation Core,,,,,,
2013-2014,2013-14,200795001388,2007950,BANNEKER ELEM,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,14.21,398.0,28.0,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,200795001388,2007950,BANNEKER ELEM,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,14.21,398.0,28.0,calc,Calculus,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,200795001388,2007950,BANNEKER ELEM,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,14.21,398.0,28.0,bio,Biology,Science,Foundation Core,,,,,,
2013-2014,2013-14,200795001388,2007950,BANNEKER ELEM,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,14.21,398.0,28.0,chem,Chemistry,Science,Foundation Core,,,,,,
2013-2014,2013-14,200795001388,2007950,BANNEKER ELEM,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,14.21,398.0,28.0,phys,Physics,Science,Advanced / Specialized,,,,,,
2013-2014,2013-14,200001801750,2000018,SCHOOL FOR BLIND ELEMENTARY,SCHOOL FOR BLIND,KS,Wyandotte,20209,City,Primary,Special Education,1,True,False,False,1.33,8.0,6.0,alg1,Algebra I,Math,Foundation Core,,,,,,
2013-2014,2013-14,200001801750,2000018,SCHOOL FOR BLIND ELEMENTARY,SCHOOL FOR BLIND,KS,Wyandotte,20209,City,Primary,Special Education,1,True,False,False,1.33,8.0,6.0,geom,Geometry,Math,Foundation Core,,,,,,
2013-2014,2013-14,200001801750,2000018,SCHOOL FOR BLIND ELEMENTARY,SCHOOL FOR BLIND,KS,Wyandotte,20209,City,Primary,Special Education,1,True,False,False,1.33,8.0,6.0,alg2,Algebra II,Math,Foundation Core,,,,,,
2013-2014,2013-14,200001801750,2000018,SCHOOL FOR BLIND ELEMENTARY,SCHOOL FOR BLIND,KS,Wyandotte,20209,City,Primary,Special Education,1,True,False,False,1.33,8.0,6.0,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,200001801750,2000018,SCHOOL FOR BLIND ELEMENTARY,SCHOOL FOR BLIND,KS,Wyandotte,20209,City,Primary,Special Education,1,True,False,False,1.33,8.0,6.0,calc,Calculus,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,200001801750,2000018,SCHOOL FOR BLIND ELEMENTARY,SCHOOL FOR BLIND,KS,Wyandotte,20209,City,Primary,Special Education,1,True,False,False,1.33,8.0,6.0,bio,Biology,Science,Foundation Core,,,,,,
2013-2014,2013-14,200001801750,2000018,SCHOOL FOR BLIND ELEMENTARY,SCHOOL FOR BLIND,KS,Wyandotte,20209,City,Primary,Special Education,1,True,False,False,1.33,8.0,6.0,chem,Chemistry,Science,Foundation Core,,,,,,
2013-2014,2013-14,200001801750,2000018,SCHOOL FOR BLIND ELEMENTARY,SCHOOL FOR BLIND,KS,Wyandotte,20209,City,Primary,Special Education,1,True,False,False,1.33,8.0,6.0,phys,Physics,Science,Advanced / Specialized,,,,,,
2013-2014,2013-14,200795001778,2007950,MCKINLEY ELEMENTARY SCHOOL,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,13.13,197.0,15.0,alg1,Algebra I,Math,Foundation Core,,,,,,
2013-2014,2013-14,200795001778,2007950,MCKINLEY ELEMENTARY SCHOOL,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,13.13,197.0,15.0,geom,Geometry,Math,Foundation Core,,,,,,
2013-2014,2013-14,200795001778,2007950,MCKINLEY ELEMENTARY SCHOOL,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,13.13,197.0,15.0,alg2,Algebra II,Math,Foundation Core,,,,,,
2013-2014,2013-14,200795001778,2007950,MCKINLEY ELEMENTARY SCHOOL,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,13.13,197.0,15.0,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,200795001778,2007950,MCKINLEY ELEMENTARY SCHOOL,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,13.13,197.0,15.0,calc,Calculus,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,200795001778,2007950,MCKINLEY ELEMENTARY SCHOOL,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,13.13,197.0,15.0,bio,Biology,Science,Foundation Core,,,,,,
2013-2014,2013-14,200795001778,2007950,MCKINLEY ELEMENTARY SCHOOL,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,13.13,197.0,15.0,chem,Chemistry,Science,Foundation Core,,,,,,
2013-2014,2013-14,200795001778,2007950,MCKINLEY ELEMENTARY SCHOOL,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,13.13,197.0,15.0,phys,Physics,Science,Advanced / Specialized,,,,,,
2013-2014,2013-14,290059303176,2900593,DELASALLE CHARTER SCHOOL,DELASALLE CHARTER SCHOOL,MO,Jackson,29095,City,High,Regular School,1,True,True,False,11.59,255.0,22.0,alg1,Algebra I,Math,Foundation Core,7.0,59.0,,8.428571428571429,,-3.161428571428571
2013-2014,2013-14,290059303176,2900593,DELASALLE CHARTER SCHOOL,DELASALLE CHARTER SCHOOL,MO,Jackson,29095,City,High,Regular School,1,True,True,False,11.59,255.0,22.0,geom,Geometry,Math,Foundation Core,,9.0,,,,
2013-2014,2013-14,290059303176,2900593,DELASALLE CHARTER SCHOOL,DELASALLE CHARTER SCHOOL,MO,Jackson,29095,City,High,Regular School,1,True,True,False,11.59,255.0,22.0,alg2,Algebra II,Math,Foundation Core,10.0,8.0,,0.8,,-10.79
2013-2014,2013-14,290059303176,2900593,DELASALLE CHARTER SCHOOL,DELASALLE CHARTER SCHOOL,MO,Jackson,29095,City,High,Regular School,1,True,True,False,11.59,255.0,22.0,advm,Advanced Mathematics,Math,Advanced / Specialized,0.0,,,,,
