school_year,crdc_wave,nces_school_id,nces_lea_id,school_name,district_name,state,county_name,county_fips,locale_group,school_level,school_type,operational_status,is_operating,is_charter,is_virtual,school_ptr,enrollment_k12,classroom_teacher_fte,course_code,course_name,subject_area,course_level,num_classes,num_enrolled,num_certified,mean_class_size,certified_share,allocation_wedge
2015-2016,2015-16,292280002662,2922800,PLEASANT VALLEY EARLY CHILD.,NORTH KANSAS CITY 74,MO,Clay County,29047,Suburb,Primary,Regular School,1,True,False,False,11.24,0.0,21.0,alg1,Algebra I,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280002662,2922800,PLEASANT VALLEY EARLY CHILD.,NORTH KANSAS CITY 74,MO,Clay County,29047,Suburb,Primary,Regular School,1,True,False,False,11.24,0.0,21.0,geom,Geometry,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280002662,2922800,PLEASANT VALLEY EARLY CHILD.,NORTH KANSAS CITY 74,MO,Clay County,29047,Suburb,Primary,Regular School,1,True,False,False,11.24,0.0,21.0,alg2,Algebra II,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280002662,2922800,PLEASANT VALLEY EARLY CHILD.,NORTH KANSAS CITY 74,MO,Clay County,29047,Suburb,Primary,Regular School,1,True,False,False,11.24,0.0,21.0,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292280002662,2922800,PLEASANT VALLEY EARLY CHILD.,NORTH KANSAS CITY 74,MO,Clay County,29047,Suburb,Primary,Regular School,1,True,False,False,11.24,0.0,21.0,calc,Calculus,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292280002662,2922800,PLEASANT VALLEY EARLY CHILD.,NORTH KANSAS CITY 74,MO,Clay County,29047,Suburb,Primary,Regular School,1,True,False,False,11.24,0.0,21.0,bio,Biology,Science,Foundation Core,,,,,,
2015-2016,2015-16,292280002662,2922800,PLEASANT VALLEY EARLY CHILD.,NORTH KANSAS CITY 74,MO,Clay County,29047,Suburb,Primary,Regular School,1,True,False,False,11.24,0.0,21.0,chem,Chemistry,Science,Foundation Core,,,,,,
2015-2016,2015-16,292280002662,2922800,PLEASANT VALLEY EARLY CHILD.,NORTH KANSAS CITY 74,MO,Clay County,29047,Suburb,Primary,Regular School,1,True,False,False,11.24,0.0,21.0,phys,Physics,Science,Advanced / Specialized,,,,,,
2015-2016,2015-16,292280002730,2922800,NORTHGATE MIDDLE,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Middle,Regular School,1,True,False,False,13.82,812.0,58.74,alg1,Algebra I,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280002730,2922800,NORTHGATE MIDDLE,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Middle,Regular School,1,True,False,False,13.82,812.0,58.74,geom,Geometry,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280002730,2922800,NORTHGATE MIDDLE,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Middle,Regular School,1,True,False,False,13.82,812.0,58.74,alg2,Algebra II,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280002730,2922800,NORTHGATE MIDDLE,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Middle,Regular School,1,True,False,False,13.82,812.0,58.74,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292280002730,2922800,NORTHGATE MIDDLE,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Middle,Regular School,1,True,False,False,13.82,812.0,58.74,calc,Calculus,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292280002730,2922800,NORTHGATE MIDDLE,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Middle,Regular School,1,True,False,False,13.82,812.0,58.74,bio,Biology,Science,Foundation Core,,,,,,
2015-2016,2015-16,292280002730,2922800,NORTHGATE MIDDLE,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Middle,Regular School,1,True,False,False,13.82,812.0,58.74,chem,Chemistry,Science,Foundation Core,,,,,,
2015-2016,2015-16,292280002730,2922800,NORTHGATE MIDDLE,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Middle,Regular School,1,True,False,False,13.82,812.0,58.74,phys,Physics,Science,Advanced / Specialized,,,,,,
2015-2016,2015-16,292280002731,2922800,NORTHVIEW ELEM.,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Primary,Regular School,1,True,False,False,18.42,752.0,40.83,alg1,Algebra I,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280002731,2922800,NORTHVIEW ELEM.,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Primary,Regular School,1,True,False,False,18.42,752.0,40.83,geom,Geometry,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280002731,2922800,NORTHVIEW ELEM.,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Primary,Regular School,1,True,False,False,18.42,752.0,40.83,alg2,Algebra II,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280002731,2922800,NORTHVIEW ELEM.,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Primary,Regular School,1,True,False,False,18.42,752.0,40.83,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292280002731,2922800,NORTHVIEW ELEM.,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Primary,Regular School,1,True,False,False,18.42,752.0,40.83,calc,Calculus,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292280002731,2922800,NORTHVIEW ELEM.,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Primary,Regular School,1,True,False,False,18.42,752.0,40.83,bio,Biology,Science,Foundation Core,,,,,,
2015-2016,2015-16,292280002731,2922800,NORTHVIEW ELEM.,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Primary,Regular School,1,True,False,False,18.42,752.0,40.83,chem,Chemistry,Science,Foundation Core,,,,,,
2015-2016,2015-16,292280002731,2922800,NORTHVIEW ELEM.,NORTH KANSAS CITY 74,MO,Clay County,29047,City,Primary,Regular School,1,True,False,False,18.42,752.0,40.83,phys,Physics,Science,Advanced / Specialized,,,,,,
2015-2016,2015-16,292280003083,2922800,STALEY HIGH,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,High,Regular School,1,True,False,False,17.98,1525.0,84.84,alg1,Algebra I,Math,Foundation Core,9.0,265.0,9.0,29.444444444444443,1.0,11.464444444444442
2015-2016,2015-16,292280003083,2922800,STALEY HIGH,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,High,Regular School,1,True,False,False,17.98,1525.0,84.84,geom,Geometry,Math,Foundation Core,12.0,,12.0,,1.0,
2015-2016,2015-16,292280003083,2922800,STALEY HIGH,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,High,Regular School,1,True,False,False,17.98,1525.0,84.84,alg2,Algebra II,Math,Foundation Core,15.0,362.0,15.0,24.133333333333333,1.0,6.153333333333332
2015-2016,2015-16,292280003083,2922800,STALEY HIGH,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,High,Regular School,1,True,False,False,17.98,1525.0,84.84,advm,Advanced Mathematics,Math,Advanced / Specialized,13.0,296.0,13.0,22.76923076923077,1.0,4.78923076923077
2015-2016,2015-16,292280003083,2922800,STALEY HIGH,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,High,Regular School,1,True,False,False,17.98,1525.0,84.84,calc,Calculus,Math,Advanced / Specialized,3.0,45.0,3.0,15.0,1.0,-2.9800000000000004
2015-2016,2015-16,292280003083,2922800,STALEY HIGH,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,High,Regular School,1,True,False,False,17.98,1525.0,84.84,bio,Biology,Science,Foundation Core,12.0,407.0,12.0,33.916666666666664,1.0,15.936666666666664
2015-2016,2015-16,292280003083,2922800,STALEY HIGH,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,High,Regular School,1,True,False,False,17.98,1525.0,84.84,chem,Chemistry,Science,Foundation Core,9.0,404.0,9.0,44.888888888888886,1.0,26.908888888888885
2015-2016,2015-16,292280003083,2922800,STALEY HIGH,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,High,Regular School,1,True,False,False,17.98,1525.0,84.84,phys,Physics,Science,Advanced / Specialized,13.0,393.0,13.0,30.23076923076923,1.0,12.25076923076923
2015-2016,2015-16,292280003115,2922800,BELL PRAIRIE ELEMENTARY,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,Primary,Regular School,1,True,False,False,16.67,627.0,39.54,alg1,Algebra I,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280003115,2922800,BELL PRAIRIE ELEMENTARY,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,Primary,Regular School,1,True,False,False,16.67,627.0,39.54,geom,Geometry,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280003115,2922800,BELL PRAIRIE ELEMENTARY,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,Primary,Regular School,1,True,False,False,16.67,627.0,39.54,alg2,Algebra II,Math,Foundation Core,,,,,,
2015-2016,2015-16,292280003115,2922800,BELL PRAIRIE ELEMENTARY,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,Primary,Regular School,1,True,False,False,16.67,627.0,39.54,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292280003115,2922800,BELL PRAIRIE ELEMENTARY,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,Primary,Regular School,1,True,False,False,16.67,627.0,39.54,calc,Calculus,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292280003115,2922800,BELL PRAIRIE ELEMENTARY,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,Primary,Regular School,1,True,False,False,16.67,627.0,39.54,bio,Biology,Science,Foundation Core,,,,,,
2015-2016,2015-16,292280003115,2922800,BELL PRAIRIE ELEMENTARY,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,Primary,Regular School,1,True,False,False,16.67,627.0,39.54,chem,Chemistry,Science,Foundation Core,,,,,,
2015-2016,2015-16,292280003115,2922800,BELL PRAIRIE ELEMENTARY,NORTH KANSAS CITY 74,MO,Clay County,29047,Rural,Primary,Regular School,1,True,False,False,16.67,627.0,39.54,phys,Physics,Science,Advanced / Specialized,,,,,,
2015-2016,2015-16,292283001295,2922830,NORTH PLATTE ELEM.,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Primary,Regular School,1,True,False,False,14.02,199.0,14.98,alg1,Algebra I,Math,Foundation Core,,,,,,
2015-2016,2015-16,292283001295,2922830,NORTH PLATTE ELEM.,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Primary,Regular School,1,True,False,False,14.02,199.0,14.98,geom,Geometry,Math,Foundation Core,,,,,,
2015-2016,2015-16,292283001295,2922830,NORTH PLATTE ELEM.,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Primary,Regular School,1,True,False,False,14.02,199.0,14.98,alg2,Algebra II,Math,Foundation Core,,,,,,
2015-2016,2015-16,292283001295,2922830,NORTH PLATTE ELEM.,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Primary,Regular School,1,True,False,False,14.02,199.0,14.98,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292283001295,2922830,NORTH PLATTE ELEM.,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Primary,Regular School,1,True,False,False,14.02,199.0,14.98,calc,Calculus,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292283001295,2922830,NORTH PLATTE ELEM.,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Primary,Regular School,1,True,False,False,14.02,199.0,14.98,bio,Biology,Science,Foundation Core,,,,,,
2015-2016,2015-16,292283001295,2922830,NORTH PLATTE ELEM.,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Primary,Regular School,1,True,False,False,14.02,199.0,14.98,chem,Chemistry,Science,Foundation Core,,,,,,
2015-2016,2015-16,292283001295,2922830,NORTH PLATTE ELEM.,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Primary,Regular School,1,True,False,False,14.02,199.0,14.98,phys,Physics,Science,Advanced / Specialized,,,,,,
2015-2016,2015-16,292283001297,2922830,NORTH PLATTE HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,High,Regular School,1,True,False,False,12.39,205.0,16.54,alg1,Algebra I,Math,Foundation Core,3.0,44.0,3.0,14.666666666666666,1.0,2.2766666666666655
2015-2016,2015-16,292283001297,2922830,NORTH PLATTE HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,High,Regular School,1,True,False,False,12.39,205.0,16.54,geom,Geometry,Math,Foundation Core,2.0,,2.0,,1.0,
2015-2016,2015-16,292283001297,2922830,NORTH PLATTE HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,High,Regular School,1,True,False,False,12.39,205.0,16.54,alg2,Algebra II,Math,Foundation Core,1.0,29.0,1.0,29.0,1.0,16.61
2015-2016,2015-16,292283001297,2922830,NORTH PLATTE HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,High,Regular School,1,True,False,False,12.39,205.0,16.54,advm,Advanced Mathematics,Math,Advanced / Specialized,1.0,22.0,1.0,22.0,1.0,9.61
2015-2016,2015-16,292283001297,2922830,NORTH PLATTE HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,High,Regular School,1,True,False,False,12.39,205.0,16.54,calc,Calculus,Math,Advanced / Specialized,1.0,19.0,1.0,19.0,1.0,6.609999999999999
2015-2016,2015-16,292283001297,2922830,NORTH PLATTE HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,High,Regular School,1,True,False,False,12.39,205.0,16.54,bio,Biology,Science,Foundation Core,3.0,37.0,3.0,12.333333333333334,1.0,-0.05666666666666664
2015-2016,2015-16,292283001297,2922830,NORTH PLATTE HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,High,Regular School,1,True,False,False,12.39,205.0,16.54,chem,Chemistry,Science,Foundation Core,3.0,27.0,3.0,9.0,1.0,-3.3900000000000006
2015-2016,2015-16,292283001297,2922830,NORTH PLATTE HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,High,Regular School,1,True,False,False,12.39,205.0,16.54,phys,Physics,Science,Advanced / Specialized,4.0,48.0,4.0,12.0,1.0,-0.39000000000000057
2015-2016,2015-16,292283002016,2922830,NORTH PLATTE JR. HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,8.91,72.0,8.08,alg1,Algebra I,Math,Foundation Core,,,,,,
2015-2016,2015-16,292283002016,2922830,NORTH PLATTE JR. HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,8.91,72.0,8.08,geom,Geometry,Math,Foundation Core,,,,,,
2015-2016,2015-16,292283002016,2922830,NORTH PLATTE JR. HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,8.91,72.0,8.08,alg2,Algebra II,Math,Foundation Core,,,,,,
2015-2016,2015-16,292283002016,2922830,NORTH PLATTE JR. HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,8.91,72.0,8.08,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292283002016,2922830,NORTH PLATTE JR. HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,8.91,72.0,8.08,calc,Calculus,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292283002016,2922830,NORTH PLATTE JR. HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,8.91,72.0,8.08,bio,Biology,Science,Foundation Core,,,,,,
2015-2016,2015-16,292283002016,2922830,NORTH PLATTE JR. HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,8.91,72.0,8.08,chem,Chemistry,Science,Foundation Core,,,,,,
2015-2016,2015-16,292283002016,2922830,NORTH PLATTE JR. HIGH,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,8.91,72.0,8.08,phys,Physics,Science,Advanced / Specialized,,,,,,
2015-2016,2015-16,292283002021,2922830,NORTH PLATTE INTERMEDIATE,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,13.76,139.0,10.1,alg1,Algebra I,Math,Foundation Core,,,,,,
2015-2016,2015-16,292283002021,2922830,NORTH PLATTE INTERMEDIATE,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,13.76,139.0,10.1,geom,Geometry,Math,Foundation Core,,,,,,
2015-2016,2015-16,292283002021,2922830,NORTH PLATTE INTERMEDIATE,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,13.76,139.0,10.1,alg2,Algebra II,Math,Foundation Core,,,,,,
2015-2016,2015-16,292283002021,2922830,NORTH PLATTE INTERMEDIATE,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,13.76,139.0,10.1,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292283002021,2922830,NORTH PLATTE INTERMEDIATE,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,13.76,139.0,10.1,calc,Calculus,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292283002021,2922830,NORTH PLATTE INTERMEDIATE,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,13.76,139.0,10.1,bio,Biology,Science,Foundation Core,,,,,,
2015-2016,2015-16,292283002021,2922830,NORTH PLATTE INTERMEDIATE,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,13.76,139.0,10.1,chem,Chemistry,Science,Foundation Core,,,,,,
2015-2016,2015-16,292283002021,2922830,NORTH PLATTE INTERMEDIATE,NORTH PLATTE CO. R-I,MO,Platte County,29165,Rural,Middle,Regular School,1,True,False,False,13.76,139.0,10.1,phys,Physics,Science,Advanced / Specialized,,,,,,
2015-2016,2015-16,292301000141,2923010,OAK GROVE PRIMARY,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.83,432.0,32.7,alg1,Algebra I,Math,Foundation Core,,,,,,
2015-2016,2015-16,292301000141,2923010,OAK GROVE PRIMARY,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.83,432.0,32.7,geom,Geometry,Math,Foundation Core,,,,,,
2015-2016,2015-16,292301000141,2923010,OAK GROVE PRIMARY,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.83,432.0,32.7,alg2,Algebra II,Math,Foundation Core,,,,,,
2015-2016,2015-16,292301000141,2923010,OAK GROVE PRIMARY,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.83,432.0,32.7,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292301000141,2923010,OAK GROVE PRIMARY,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.83,432.0,32.7,calc,Calculus,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292301000141,2923010,OAK GROVE PRIMARY,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.83,432.0,32.7,bio,Biology,Science,Foundation Core,,,,,,
2015-2016,2015-16,292301000141,2923010,OAK GROVE PRIMARY,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.83,432.0,32.7,chem,Chemistry,Science,Foundation Core,,,,,,
2015-2016,2015-16,292301000141,2923010,OAK GROVE PRIMARY,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.83,432.0,32.7,phys,Physics,Science,Advanced / Specialized,,,,,,
2015-2016,2015-16,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.33,430.0,30.0,alg1,Algebra I,Math,Foundation Core,,,,,,
2015-2016,2015-16,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.33,430.0,30.0,geom,Geometry,Math,Foundation Core,,,,,,
2015-2016,2015-16,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.33,430.0,30.0,alg2,Algebra II,Math,Foundation Core,,,,,,
2015-2016,2015-16,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.33,430.0,30.0,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.33,430.0,30.0,calc,Calculus,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.33,430.0,30.0,bio,Biology,Science,Foundation Core,,,,,,
2015-2016,2015-16,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.33,430.0,30.0,chem,Chemistry,Science,Foundation Core,,,,,,
2015-2016,2015-16,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,14.33,430.0,30.0,phys,Physics,Science,Advanced / Specialized,,,,,,
2015-2016,2015-16,292301001317,2923010,OAK GROVE HIGH,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,High,Regular School,1,True,False,False,14.89,649.0,43.6,alg1,Algebra I,Math,Foundation Core,7.0,71.0,7.0,10.142857142857142,1.0,-4.747142857142858
2015-2016,2015-16,292301001317,2923010,OAK GROVE HIGH,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,High,Regular School,1,True,False,False,14.89,649.0,43.6,geom,Geometry,Math,Foundation Core,9.0,,9.0,,1.0,
2015-2016,2015-16,292301001317,2923010,OAK GROVE HIGH,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,High,Regular School,1,True,False,False,14.89,649.0,43.6,alg2,Algebra II,Math,Foundation Core,8.0,142.0,8.0,17.75,1.0,2.8599999999999994
2015-2016,2015-16,292301001317,2923010,OAK GROVE HIGH,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,High,Regular School,1,True,False,False,14.89,649.0,43.6,advm,Advanced Mathematics,Math,Advanced / Specialized,12.0,135.0,12.0,11.25,1.0,-3.6400000000000006
2015-2016,2015-16,292301001317,2923010,OAK GROVE HIGH,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,High,Regular School,1,True,False,False,14.89,649.0,43.6,calc,Calculus,Math,Advanced / Specialized,1.0,10.0,1.0,10.0,1.0,-4.890000000000001
2015-2016,2015-16,292301001317,2923010,OAK GROVE HIGH,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,High,Regular School,1,True,False,False,14.89,649.0,43.6,bio,Biology,Science,Foundation Core,8.0,154.0,8.0,19.25,1.0,4.359999999999999
2015-2016,2015-16,292301001317,2923010,OAK GROVE HIGH,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,High,Regular School,1,True,False,False,14.89,649.0,43.6,chem,Chemistry,Science,Foundation Core,3.0,54.0,3.0,18.0,1.0,3.1099999999999994
2015-2016,2015-16,292301001317,2923010,OAK GROVE HIGH,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,High,Regular School,1,True,False,False,14.89,649.0,43.6,phys,Physics,Science,Advanced / Specialized,1.0,12.0,1.0,12.0,1.0,-2.8900000000000006
2015-2016,2015-16,292301001318,2923010,OAK GROVE MIDDLE,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Middle,Regular School,1,True,False,False,13.63,473.0,34.7,alg1,Algebra I,Math,Foundation Core,,,,,,
2015-2016,2015-16,292301001318,2923010,OAK GROVE MIDDLE,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Middle,Regular School,1,True,False,False,13.63,473.0,34.7,geom,Geometry,Math,Foundation Core,,,,,,
2015-2016,2015-16,292301001318,2923010,OAK GROVE MIDDLE,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Middle,Regular School,1,True,False,False,13.63,473.0,34.7,alg2,Algebra II,Math,Foundation Core,,,,,,
2015-2016,2015-16,292301001318,2923010,OAK GROVE MIDDLE,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Middle,Regular School,1,True,False,False,13.63,473.0,34.7,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292301001318,2923010,OAK GROVE MIDDLE,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Middle,Regular School,1,True,False,False,13.63,473.0,34.7,calc,Calculus,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292301001318,2923010,OAK GROVE MIDDLE,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Middle,Regular School,1,True,False,False,13.63,473.0,34.7,bio,Biology,Science,Foundation Core,,,,,,
2015-2016,2015-16,292301001318,2923010,OAK GROVE MIDDLE,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Middle,Regular School,1,True,False,False,13.63,473.0,34.7,chem,Chemistry,Science,Foundation Core,,,,,,
2015-2016,2015-16,292301001318,2923010,OAK GROVE MIDDLE,OAK GROVE R-VI,MO,Jackson County,29095,Suburb,Middle,Regular School,1,True,False,False,13.63,473.0,34.7,phys,Physics,Science,Advanced / Specialized,,,,,,
2015-2016,2015-16,292322001335,2923220,ORRICK ELEM.,ORRICK R-XI,MO,Ray County,29177,Rural,Primary,Regular School,1,True,False,False,15.14,146.0,11.16,alg1,Algebra I,Math,Foundation Core,,,,,,
2015-2016,2015-16,292322001335,2923220,ORRICK ELEM.,ORRICK R-XI,MO,Ray County,29177,Rural,Primary,Regular School,1,True,False,False,15.14,146.0,11.16,geom,Geometry,Math,Foundation Core,,,,,,
2015-2016,2015-16,292322001335,2923220,ORRICK ELEM.,ORRICK R-XI,MO,Ray County,29177,Rural,Primary,Regular School,1,True,False,False,15.14,146.0,11.16,alg2,Algebra II,Math,Foundation Core,,,,,,
2015-2016,2015-16,292322001335,2923220,ORRICK ELEM.,ORRICK R-XI,MO,Ray County,29177,Rural,Primary,Regular School,1,True,False,False,15.14,146.0,11.16,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292322001335,2923220,ORRICK ELEM.,ORRICK R-XI,MO,Ray County,29177,Rural,Primary,Regular School,1,True,False,False,15.14,146.0,11.16,calc,Calculus,Math,Advanced / Specialized,,,,,,
2015-2016,2015-16,292322001335,2923220,ORRICK ELEM.,ORRICK R-XI,MO,Ray County,29177,Rural,Primary,Regular School,1,True,False,False,15.14,146.0,11.16,bio,Biology,Science,Foundation Core,,,,,,
2015-2016,2015-16,292322001335,2923220,ORRICK ELEM.,ORRICK R-XI,MO,Ray County,29177,Rural,Primary,Regular School,1,True,False,False,15.14,146.0,11.16,chem,Chemistry,Science,Foundation Core,,,,,,
