school_year,crdc_wave,nces_school_id,nces_lea_id,school_name,district_name,lea_name,state,county_name,county_fips,locale_group,school_level,school_type,operational_status,is_operating,is_charter,is_virtual,enrollment_k12,classroom_teacher_fte,school_ptr,classes_alg1,enrollment_alg1,certified_alg1,mean_class_size_alg1,certified_share_alg1,allocation_wedge_alg1,classes_geom,enrollment_geom,certified_geom,mean_class_size_geom,certified_share_geom,allocation_wedge_geom,classes_alg2,enrollment_alg2,certified_alg2,mean_class_size_alg2,certified_share_alg2,allocation_wedge_alg2,classes_advm,enrollment_advm,certified_advm,mean_class_size_advm,certified_share_advm,allocation_wedge_advm,classes_calc,enrollment_calc,certified_calc,mean_class_size_calc,certified_share_calc,allocation_wedge_calc,classes_bio,enrollment_bio,certified_bio,mean_class_size_bio,certified_share_bio,allocation_wedge_bio,classes_chem,enrollment_chem,certified_chem,mean_class_size_chem,certified_share_chem,allocation_wedge_chem,classes_phys,enrollment_phys,certified_phys,mean_class_size_phys,certified_share_phys,allocation_wedge_phys
2021-2022,2021-22,292607001530,2926070,SOUTHWOOD ELEM.,RAYTOWN C-2,RAYTOWN C-2,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,345.0,29.58,11.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,200843001157,2008430,Leavenworth Sr High,Leavenworth,Leavenworth,KS,Leavenworth County,20103,Town,High,Regular School,1,True,False,False,1279.0,69.5,18.4,10.0,179.0,,17.9,,-0.5,14.0,119.0,,8.5,,-9.899999999999999,9.0,181.0,,20.11111111111111,,1.7111111111111121,4.0,85.0,,21.25,,2.8500000000000014,0.0,,,,,,13.0,291.0,,22.384615384615383,,3.9846153846153847,8.0,159.0,,19.875,,1.4750000000000014,3.0,52.0,,17.333333333333332,,-1.0666666666666664
2021-2022,2021-22,201185001918,2011850,Insight School of KS at Hilltop Ed Center,Spring Hill,Spring Hill,KS,Miami County,20121,Town,High,Regular School,1,True,True,True,992.0,40.55,24.46,1.0,132.0,,132.0,,107.53999999999999,1.0,106.0,,106.0,,81.53999999999999,2.0,52.0,,26.0,,1.5399999999999991,1.0,13.0,,13.0,,-11.46,1.0,1.0,,1.0,,-23.46,1.0,104.0,,104.0,,79.53999999999999,1.0,29.0,,29.0,,4.539999999999999,1.0,2.0,,2.0,,-22.46
2021-2022,2021-22,200795001401,2007950,Mark Twain Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,City,Primary,Regular School,1,True,False,False,246.0,18.25,13.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,291548000708,2915480,BLACKBURN ELEM.,INDEPENDENCE 30,INDEPENDENCE 30,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,359.0,29.38,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,291548000711,2915480,GLENDALE ELEM.,INDEPENDENCE 30,INDEPENDENCE 30,MO,Jackson County,29095,Suburb,Primary,Regular School,1,True,False,False,409.0,29.63,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,201164001556,2011640,Santa Fe Trail Elem,Shawnee Mission Pub Sch,Shawnee Mission Pub Sch,KS,Johnson County,20091,City,Primary,Regular School,1,True,False,False,274.0,23.9,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,290001602746,2900016,GENESIS SCHOOL INC.,GENESIS SCHOOL INC.,GENESIS SCHOOL INC.,MO,Jackson County,29095,City,Primary,Regular School,1,True,True,False,205.0,23.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,293111002295,2931110,WASHINGTON WEST ELEM.,WASHINGTON,WASHINGTON,MO,Clay County,29047,Town,Primary,Regular School,1,True,False,False,494.0,35.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,201200001841,2012000,Sunrise Point Elementary,Blue Valley,Blue Valley,KS,Johnson County,20091,City,Primary,Regular School,1,True,False,False,458.0,33.2,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,291640000818,2916400,CARVER DUAL LANGUAGE SCHOOL,KANSAS CITY 33,KANSAS CITY 33,MO,Jackson County,29095,City,Primary,Regular School,1,True,False,False,390.0,22.0,19.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,291308003161,2913080,GRAIN VALLEY NORTH MIDDLE SCHL,GRAIN VALLEY R-V,GRAIN VALLEY R-V,MO,Jackson County,29095,Rural,Middle,Regular School,1,True,False,False,511.0,39.06,13.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,201026000772,2010260,Swenson Early Childhood Education Center,Osawatomie,Osawatomie,KS,Miami County,20121,Town,Primary,Regular School,1,True,False,False,85.0,13.0,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,290001403222,2900014,HOGAN PREPARATORY ACADEMY ELEM,HOGAN PREPARATORY ACADEMY,HOGAN PREPARATORY ACADEMY,MO,Jackson County,29095,City,Primary,Regular School,1,True,True,False,345.0,24.5,14.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
