school_year,nces_school_id,nces_lea_id,school_name,district_name,state,county_name,county_fips,school_level,school_type,operational_status,is_operating,locale_code,locale_group,is_charter,is_virtual,enrollment_total,classroom_teacher_fte,school_ptr
2013-2014,200795001397,2007950,JOHN FISKE ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,1309.0,25.0,52.36
2013-2014,200795001398,2007950,GRANT ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,286.0,21.0,13.62
2013-2014,200795001399,2007950,BERTRAM CARUTHERS ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,273.0,21.0,13.0
2013-2014,200795001401,2007950,MARK TWAIN ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,261.0,16.0,16.31
2013-2014,200795001405,2007950,NOBLE PRENTIS ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,242.0,14.0,17.29
2013-2014,200795001406,2007950,QUINDARO ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,373.0,25.0,14.92
2013-2014,200795001408,2007950,FRANK RUSHTON ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,430.0,27.0,15.93
2013-2014,200795001409,2007950,NEW STANLEY ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,346.0,26.0,13.31
2013-2014,200795001410,2007950,EUGENE WARE ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,335.0,22.0,15.23
2013-2014,200795001411,2007950,WM A WHITE ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,250.0,18.0,13.89
2013-2014,200795001413,2007950,FRANCES WILLARD ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,484.0,33.0,14.67
2013-2014,200795001414,2007950,CENTRAL MIDDLE,KANSAS CITY,KS,Wyandotte,20209,Middle,Regular School,1,True,12,City,False,False,597.0,41.0,14.56
2013-2014,200795001415,2007950,NORTHWEST MIDDLE,KANSAS CITY,KS,Wyandotte,20209,Middle,Regular School,1,True,12,City,False,False,705.0,42.0,16.79
2013-2014,200795001416,2007950,WEST MIDDLE,KANSAS CITY,KS,Wyandotte,20209,Middle,Regular School,1,True,12,City,False,False,372.0,28.0,13.29
2013-2014,200795001417,2007950,ARGENTINE MIDDLE,KANSAS CITY,KS,Wyandotte,20209,Middle,Regular School,1,True,12,City,False,False,553.0,41.0,13.49
2013-2014,200795001418,2007950,ROSEDALE MIDDLE,KANSAS CITY,KS,Wyandotte,20209,Middle,Regular School,1,True,12,City,False,False,601.0,35.0,17.17
2013-2014,200795001419,2007950,SUMNER ACADEMY OF ARTS & SCIENCE,KANSAS CITY,KS,Wyandotte,20209,High,Regular School,1,True,12,City,False,False,836.0,57.0,14.67
2013-2014,200795001420,2007950,WYANDOTTE HIGH,KANSAS CITY,KS,Wyandotte,20209,High,Regular School,1,True,12,City,False,False,1460.0,95.0,15.37
2013-2014,200795001421,2007950,ARROWHEAD MIDDLE,KANSAS CITY,KS,Wyandotte,20209,Middle,Regular School,1,True,12,City,False,False,465.0,33.0,14.09
2013-2014,200795001422,2007950,BETHEL ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,151.0,10.0,15.1
2013-2014,200795001423,2007950,J C HARMON HIGH,KANSAS CITY,KS,Wyandotte,20209,High,Regular School,1,True,12,City,False,False,1261.0,76.0,16.59
2013-2014,200795001424,2007950,CORONADO MIDDLE,KANSAS CITY,KS,Wyandotte,20209,Middle,Regular School,1,True,12,City,False,False,438.0,32.0,13.69
2013-2014,200795001425,2007950,F L SCHLAGLE HIGH,KANSAS CITY,KS,Wyandotte,20209,High,Regular School,1,True,12,City,False,False,816.0,58.0,14.07
2013-2014,200795001426,2007950,CLAUDE A HUYCK ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,240.0,16.0,15.0
2013-2014,200795001427,2007950,D D EISENHOWER MIDDLE,KANSAS CITY,KS,Wyandotte,20209,Middle,Regular School,1,True,12,City,False,False,529.0,34.0,15.56
2013-2014,200795001428,2007950,HAZEL GROVE ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,512.0,32.0,16.0
2013-2014,200795001429,2007950,JOHN F KENNEDY ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,443.0,29.0,15.28
2013-2014,200795001430,2007950,LINDBERGH ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,187.0,14.0,13.36
2013-2014,200795001431,2007950,STONY POINT SOUTH,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,41,Rural,False,False,348.0,24.0,14.5
2013-2014,200795001432,2007950,STONY POINT NORTH,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,320.0,24.0,13.33
2013-2014,200795001433,2007950,WASHINGTON HIGH,KANSAS CITY,KS,Wyandotte,20209,High,Regular School,1,True,12,City,False,False,1012.0,65.0,15.57
2013-2014,200795001434,2007950,WELBORN ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,524.0,29.0,18.07
2013-2014,200795001435,2007950,WHITE CHURCH ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,278.0,16.0,17.38
2013-2014,200795001437,2007950,M E PEARSON ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,589.0,39.0,15.1
2013-2014,200795001714,2007950,WHITTIER ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,635.0,45.0,14.11
2013-2014,200795001778,2007950,MCKINLEY ELEMENTARY SCHOOL,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,197.0,15.0,13.13
2013-2014,200795001972,2007950,PARKER ELEMENTARY SCHOOL,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,197.0,13.0,15.15
2013-2014,200825000751,2008250,FONTANA ELEM,PRAIRIE VIEW,KS,Miami,20121,Primary,Regular School,1,True,42,Rural,False,False,67.0,6.0,11.17
2013-2014,200834001230,2008340,LANSING HIGH 9-12,LANSING,KS,Leavenworth,20103,High,Regular School,1,True,31,Town,False,False,832.0,56.0,14.86
2013-2014,200834001664,2008340,LANSING MIDDLE 6-8,LANSING,KS,Leavenworth,20103,Middle,Regular School,1,True,31,Town,False,False,619.0,43.0,14.4
2013-2014,200834001920,2008340,LANSING ELEMENTARY SCHOOL,LANSING,KS,Leavenworth,20103,Primary,Regular School,1,True,31,Town,False,False,1084.0,68.0,15.94
2013-2014,200843001157,2008430,LEAVENWORTH SR HIGH,LEAVENWORTH,KS,Leavenworth,20103,High,Regular School,1,True,31,Town,False,False,1398.0,86.0,16.26
2013-2014,200843001850,2008430,LEAVENWORTH VIRTUAL SCHOOL,LEAVENWORTH,KS,Leavenworth,20103,Primary,Regular School,1,True,31,Town,False,False,100.0,5.0,20.0
2013-2014,200843001968,2008430,HENRY LEAVENWORTH,LEAVENWORTH,KS,Leavenworth,20103,Primary,Regular School,1,True,41,Rural,False,False,482.0,31.0,15.55
2013-2014,200843001979,2008430,EARL LAWSON ELEMENTARY,LEAVENWORTH,KS,Leavenworth,20103,Primary,Regular School,1,True,31,Town,False,False,257.0,22.0,11.68
2013-2014,200843001997,2008430,ANTHONY ELEMENTARY,LEAVENWORTH,KS,Leavenworth,20103,Primary,Regular School,1,True,31,Town,False,False,425.0,28.0,15.18
2013-2014,200843002011,2008430,WEST INTERMEDIATE,LEAVENWORTH,KS,Leavenworth,20103,Middle,Regular School,1,True,31,Town,False,False,432.0,36.0,12.0
2013-2014,200843002030,2008430,RICHARD WARREN MIDDLE SCHOOL,LEAVENWORTH,KS,Leavenworth,20103,Middle,Regular School,1,True,31,Town,False,False,441.0,37.0,11.92
2013-2014,200843002036,2008430,DAVID BREWER ELEMENTARY,LEAVENWORTH,KS,Leavenworth,20103,Primary,Regular School,1,True,31,Town,False,False,332.0,26.0,12.77
2013-2014,200897000982,2008970,BROADMOOR ELEMENTARY,LOUISBURG,KS,Miami,20121,Primary,Regular School,1,True,32,Town,False,False,396.0,22.0,18.0
2013-2014,200897000983,2008970,LOUISBURG HIGH,LOUISBURG,KS,Miami,20121,High,Regular School,1,True,32,Town,False,False,509.0,34.0,14.97
2013-2014,200897001638,2008970,LOUISBURG MIDDLE,LOUISBURG,KS,Miami,20121,Middle,Regular School,1,True,32,Town,False,False,405.0,26.0,15.58
2013-2014,200897001742,2008970,PEORIA STREET LEARNING CENTER,LOUISBURG,KS,Miami,20121,High,Regular School,1,True,32,Town,False,False,34.0,1.0,34.0
2013-2014,200897001911,2008970,ROCKVILLE ELEMENTARY SCHOOL,LOUISBURG,KS,Miami,20121,Primary,Regular School,1,True,41,Rural,False,False,480.0,28.0,17.14
2013-2014,201014000040,2010140,OLATHE EAST SR HIGH,OLATHE,KS,Johnson,20091,High,Regular School,1,True,21,Suburb,False,False,2096.0,132.0,15.88
2013-2014,201014000130,2010140,CENTRAL ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,286.0,23.0,12.43
2013-2014,201014000131,2010140,FAIRVIEW ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,347.0,26.0,13.35
2013-2014,201014000132,2010140,RIDGEVIEW ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,314.0,25.0,12.56
2013-2014,201014000133,2010140,WASHINGTON ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,432.0,35.0,12.34
