SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,DATA_GROUP,LUNCH_PROGRAM,STUDENT_COUNT,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,Robert E Clark Middle,01,,KS-D0204,2004050,KS-D0204-0221,200405000030,2000030,Free and Reduced-price Lunch Table,No Category Codes,385,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Robert E Clark Middle,01,,KS-D0204,2004050,KS-D0204-0221,200405000030,2000030,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Robert E Clark Middle,01,,KS-D0204,2004050,KS-D0204-0221,200405000030,2000030,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Robert E Clark Middle,01,,KS-D0204,2004050,KS-D0204-0221,200405000030,2000030,Free and Reduced-price Lunch Table,Free lunch qualified,313,Category Set A,Reported
2024-2025,20,KANSAS,KS,Robert E Clark Middle,01,,KS-D0204,2004050,KS-D0204-0221,200405000030,2000030,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,72,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs High,01,,KS-D0204,2004050,KS-D0204-0214,200405000031,2000031,Free and Reduced-price Lunch Table,No Category Codes,414,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Bonner Springs High,01,,KS-D0204,2004050,KS-D0204-0214,200405000031,2000031,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Bonner Springs High,01,,KS-D0204,2004050,KS-D0204-0214,200405000031,2000031,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs High,01,,KS-D0204,2004050,KS-D0204-0214,200405000031,2000031,Free and Reduced-price Lunch Table,Free lunch qualified,341,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs High,01,,KS-D0204,2004050,KS-D0204-0214,200405000031,2000031,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,73,Category Set A,Reported
2024-2025,20,KANSAS,KS,Edwardsville Elem,01,,KS-D0204,2004050,KS-D0204-0216,200405000032,2000032,Free and Reduced-price Lunch Table,No Category Codes,234,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Edwardsville Elem,01,,KS-D0204,2004050,KS-D0204-0216,200405000032,2000032,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Edwardsville Elem,01,,KS-D0204,2004050,KS-D0204-0216,200405000032,2000032,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Edwardsville Elem,01,,KS-D0204,2004050,KS-D0204-0216,200405000032,2000032,Free and Reduced-price Lunch Table,Free lunch qualified,188,Category Set A,Reported
2024-2025,20,KANSAS,KS,Edwardsville Elem,01,,KS-D0204,2004050,KS-D0204-0216,200405000032,2000032,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,46,Category Set A,Reported
2024-2025,20,KANSAS,KS,Delaware Ridge Elementary,01,,KS-D0204,2004050,KS-D0204-0228,200405001827,2001827,Free and Reduced-price Lunch Table,No Category Codes,216,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Delaware Ridge Elementary,01,,KS-D0204,2004050,KS-D0204-0228,200405001827,2001827,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Delaware Ridge Elementary,01,,KS-D0204,2004050,KS-D0204-0228,200405001827,2001827,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Delaware Ridge Elementary,01,,KS-D0204,2004050,KS-D0204-0228,200405001827,2001827,Free and Reduced-price Lunch Table,Free lunch qualified,175,Category Set A,Reported
2024-2025,20,KANSAS,KS,Delaware Ridge Elementary,01,,KS-D0204,2004050,KS-D0204-0228,200405001827,2001827,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,41,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto  High  School,01,,KS-D0232,2005490,KS-D0232-0832,200549000127,2000127,Free and Reduced-price Lunch Table,No Category Codes,198,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,De Soto  High  School,01,,KS-D0232,2005490,KS-D0232-0832,200549000127,2000127,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,De Soto  High  School,01,,KS-D0232,2005490,KS-D0232-0832,200549000127,2000127,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto  High  School,01,,KS-D0232,2005490,KS-D0232-0832,200549000127,2000127,Free and Reduced-price Lunch Table,Free lunch qualified,154,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto  High  School,01,,KS-D0232,2005490,KS-D0232-0832,200549000127,2000127,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,44,Category Set A,Reported
2024-2025,20,KANSAS,KS,Monticello Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0835,200549000898,2000898,Free and Reduced-price Lunch Table,No Category Codes,86,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Monticello Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0835,200549000898,2000898,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Monticello Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0835,200549000898,2000898,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Monticello Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0835,200549000898,2000898,Free and Reduced-price Lunch Table,Free lunch qualified,60,Category Set A,Reported
2024-2025,20,KANSAS,KS,Monticello Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0835,200549000898,2000898,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,26,Category Set A,Reported
2024-2025,20,KANSAS,KS,Lexington Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0836,200549000906,2000906,Free and Reduced-price Lunch Table,No Category Codes,124,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lexington Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0836,200549000906,2000906,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Lexington Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0836,200549000906,2000906,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Lexington Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0836,200549000906,2000906,Free and Reduced-price Lunch Table,Free lunch qualified,97,Category Set A,Reported
2024-2025,20,KANSAS,KS,Lexington Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0836,200549000906,2000906,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,27,Category Set A,Reported
2024-2025,20,KANSAS,KS,Clear Creek Elem,01,,KS-D0232,2005490,KS-D0232-0825,200549001457,2001457,Free and Reduced-price Lunch Table,No Category Codes,48,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Clear Creek Elem,01,,KS-D0232,2005490,KS-D0232-0825,200549001457,2001457,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Clear Creek Elem,01,,KS-D0232,2005490,KS-D0232-0825,200549001457,2001457,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Clear Creek Elem,01,,KS-D0232,2005490,KS-D0232-0825,200549001457,2001457,Free and Reduced-price Lunch Table,Free lunch qualified,41,Category Set A,Reported
2024-2025,20,KANSAS,KS,Clear Creek Elem,01,,KS-D0232,2005490,KS-D0232-0825,200549001457,2001457,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,7,Category Set A,Reported
2024-2025,20,KANSAS,KS,Starside Elem,01,,KS-D0232,2005490,KS-D0232-0837,200549001462,2001462,Free and Reduced-price Lunch Table,No Category Codes,223,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Starside Elem,01,,KS-D0232,2005490,KS-D0232-0837,200549001462,2001462,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Starside Elem,01,,KS-D0232,2005490,KS-D0232-0837,200549001462,2001462,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Starside Elem,01,,KS-D0232,2005490,KS-D0232-0837,200549001462,2001462,Free and Reduced-price Lunch Table,Free lunch qualified,173,Category Set A,Reported
2024-2025,20,KANSAS,KS,Starside Elem,01,,KS-D0232,2005490,KS-D0232-0837,200549001462,2001462,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,50,Category Set A,Reported
2024-2025,20,KANSAS,KS,Riverview Elementary,01,,KS-D0232,2005490,KS-D0232-0843,200549001717,2001717,Free and Reduced-price Lunch Table,No Category Codes,63,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Riverview Elementary,01,,KS-D0232,2005490,KS-D0232-0843,200549001717,2001717,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Riverview Elementary,01,,KS-D0232,2005490,KS-D0232-0843,200549001717,2001717,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Riverview Elementary,01,,KS-D0232,2005490,KS-D0232-0843,200549001717,2001717,Free and Reduced-price Lunch Table,Free lunch qualified,51,Category Set A,Reported
2024-2025,20,KANSAS,KS,Riverview Elementary,01,,KS-D0232,2005490,KS-D0232-0843,200549001717,2001717,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,12,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mill Valley High School,01,,KS-D0232,2005490,KS-D0232-0833,200549001723,2001723,Free and Reduced-price Lunch Table,No Category Codes,153,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Mill Valley High School,01,,KS-D0232,2005490,KS-D0232-0833,200549001723,2001723,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Mill Valley High School,01,,KS-D0232,2005490,KS-D0232-0833,200549001723,2001723,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mill Valley High School,01,,KS-D0232,2005490,KS-D0232-0833,200549001723,2001723,Free and Reduced-price Lunch Table,Free lunch qualified,129,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mill Valley High School,01,,KS-D0232,2005490,KS-D0232-0833,200549001723,2001723,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,24,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mize Elementary School,01,,KS-D0232,2005490,KS-D0232-0842,200549001724,2001724,Free and Reduced-price Lunch Table,No Category Codes,63,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Mize Elementary School,01,,KS-D0232,2005490,KS-D0232-0842,200549001724,2001724,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Mize Elementary School,01,,KS-D0232,2005490,KS-D0232-0842,200549001724,2001724,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mize Elementary School,01,,KS-D0232,2005490,KS-D0232-0842,200549001724,2001724,Free and Reduced-price Lunch Table,Free lunch qualified,53,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mize Elementary School,01,,KS-D0232,2005490,KS-D0232-0842,200549001724,2001724,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,10,Category Set A,Reported
2024-2025,20,KANSAS,KS,Prairie Ridge Elementary School,01,,KS-D0232,2005490,KS-D0232-0841,200549001758,2001758,Free and Reduced-price Lunch Table,No Category Codes,32,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Prairie Ridge Elementary School,01,,KS-D0232,2005490,KS-D0232-0841,200549001758,2001758,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Prairie Ridge Elementary School,01,,KS-D0232,2005490,KS-D0232-0841,200549001758,2001758,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Prairie Ridge Elementary School,01,,KS-D0232,2005490,KS-D0232-0841,200549001758,2001758,Free and Reduced-price Lunch Table,Free lunch qualified,26,Category Set A,Reported
2024-2025,20,KANSAS,KS,Prairie Ridge Elementary School,01,,KS-D0232,2005490,KS-D0232-0841,200549001758,2001758,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,6,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mill Creek Middle School,01,,KS-D0232,2005490,KS-D0232-0844,200549001871,2001871,Free and Reduced-price Lunch Table,No Category Codes,86,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Mill Creek Middle School,01,,KS-D0232,2005490,KS-D0232-0844,200549001871,2001871,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Mill Creek Middle School,01,,KS-D0232,2005490,KS-D0232-0844,200549001871,2001871,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mill Creek Middle School,01,,KS-D0232,2005490,KS-D0232-0844,200549001871,2001871,Free and Reduced-price Lunch Table,Free lunch qualified,61,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mill Creek Middle School,01,,KS-D0232,2005490,KS-D0232-0844,200549001871,2001871,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,25,Category Set A,Reported
2024-2025,20,KANSAS,KS,Horizon Elementary,01,,KS-D0232,2005490,KS-D0232-0829,200549001881,2001881,Free and Reduced-price Lunch Table,No Category Codes,71,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Horizon Elementary,01,,KS-D0232,2005490,KS-D0232-0829,200549001881,2001881,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Horizon Elementary,01,,KS-D0232,2005490,KS-D0232-0829,200549001881,2001881,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Horizon Elementary,01,,KS-D0232,2005490,KS-D0232-0829,200549001881,2001881,Free and Reduced-price Lunch Table,Free lunch qualified,59,Category Set A,Reported
2024-2025,20,KANSAS,KS,Horizon Elementary,01,,KS-D0232,2005490,KS-D0232-0829,200549001881,2001881,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,12,Category Set A,Reported
2024-2025,20,KANSAS,KS,Belmont Elementary School,01,,KS-D0232,2005490,KS-D0232-0912,200549002021,2002021,Free and Reduced-price Lunch Table,No Category Codes,89,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Belmont Elementary School,01,,KS-D0232,2005490,KS-D0232-0912,200549002021,2002021,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Belmont Elementary School,01,,KS-D0232,2005490,KS-D0232-0912,200549002021,2002021,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Belmont Elementary School,01,,KS-D0232,2005490,KS-D0232-0912,200549002021,2002021,Free and Reduced-price Lunch Table,Free lunch qualified,69,Category Set A,Reported
2024-2025,20,KANSAS,KS,Belmont Elementary School,01,,KS-D0232,2005490,KS-D0232-0912,200549002021,2002021,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,20,Category Set A,Reported
2024-2025,20,KANSAS,KS,Pleasant Ridge Middle,01,,KS-D0449,2005640,KS-D0449-6917,200564001130,2001130,Free and Reduced-price Lunch Table,No Category Codes,34,Education Unit Total,Reported
