SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,DATA_GROUP,LUNCH_PROGRAM,STUDENT_COUNT,TOTAL_INDICATOR,DMS_FLAG
2024-2025,29,MISSOURI,MO,FRONTIER SCHOOL OF INNOVATION,01,,MO-048922,2900590,MO-048922-6975048922,290059003127,2903127,Direct Certification,Not Applicable,218,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHOOL OF INNOVATION,01,,MO-048922,2900590,MO-048922-6975048922,290059003127,2903127,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHOOL OF INNOVATION,01,,MO-048922,2900590,MO-048922-6975048922,290059003127,2903127,Free and Reduced-price Lunch Table,Free lunch qualified,497,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHOOL OF INNOVATION,01,,MO-048922,2900590,MO-048922-6975048922,290059003127,2903127,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,58,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-M,01,,MO-048922,2900590,MO-048922-3940048922,290059003180,2903180,Direct Certification,Not Applicable,32,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-M,01,,MO-048922,2900590,MO-048922-3940048922,290059003180,2903180,Free and Reduced-price Lunch Table,No Category Codes,74,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-M,01,,MO-048922,2900590,MO-048922-3940048922,290059003180,2903180,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-M,01,,MO-048922,2900590,MO-048922-3940048922,290059003180,2903180,Free and Reduced-price Lunch Table,Free lunch qualified,74,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-M,01,,MO-048922,2900590,MO-048922-3940048922,290059003180,2903180,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-U,01,,MO-048922,2900590,MO-048922-1920048922,290059003181,2903181,Free and Reduced-price Lunch Table,No Category Codes,160,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-U,01,,MO-048922,2900590,MO-048922-1920048922,290059003181,2903181,Direct Certification,Not Applicable,51,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-U,01,,MO-048922,2900590,MO-048922-1920048922,290059003181,2903181,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-U,01,,MO-048922,2900590,MO-048922-1920048922,290059003181,2903181,Free and Reduced-price Lunch Table,Free lunch qualified,160,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-U,01,,MO-048922,2900590,MO-048922-1920048922,290059003181,2903181,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF INNOVATION-M,01,,MO-048922,2900590,MO-048922-3935048922,290059003182,2903182,Free and Reduced-price Lunch Table,No Category Codes,252,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF INNOVATION-M,01,,MO-048922,2900590,MO-048922-3935048922,290059003182,2903182,Direct Certification,Not Applicable,74,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF INNOVATION-M,01,,MO-048922,2900590,MO-048922-3935048922,290059003182,2903182,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF INNOVATION-M,01,,MO-048922,2900590,MO-048922-3935048922,290059003182,2903182,Free and Reduced-price Lunch Table,Free lunch qualified,222,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF INNOVATION-M,01,,MO-048922,2900590,MO-048922-3935048922,290059003182,2903182,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,30,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER STEM HIGH SCHOOL,01,,MO-048922,2900590,MO-048922-1985048922,290059003232,2903232,Free and Reduced-price Lunch Table,No Category Codes,311,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER STEM HIGH SCHOOL,01,,MO-048922,2900590,MO-048922-1985048922,290059003232,2903232,Direct Certification,Not Applicable,77,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER STEM HIGH SCHOOL,01,,MO-048922,2900590,MO-048922-1985048922,290059003232,2903232,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER STEM HIGH SCHOOL,01,,MO-048922,2900590,MO-048922-1985048922,290059003232,2903232,Free and Reduced-price Lunch Table,Free lunch qualified,268,Category Set A,Reported
2024-2025,29,MISSOURI,MO,FRONTIER STEM HIGH SCHOOL,01,,MO-048922,2900590,MO-048922-1985048922,290059003232,2903232,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,43,Category Set A,Reported
2024-2025,29,MISSOURI,MO,DeLaSalle Charter High School,01,,MO-048923,2900593,MO-048923-1970048923,290059303176,2903176,Free and Reduced-price Lunch Table,No Category Codes,196,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,DeLaSalle Charter High School,01,,MO-048923,2900593,MO-048923-1970048923,290059303176,2903176,Direct Certification,Not Applicable,107,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,DeLaSalle Charter High School,01,,MO-048923,2900593,MO-048923-1970048923,290059303176,2903176,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,DeLaSalle Charter High School,01,,MO-048923,2900593,MO-048923-1970048923,290059303176,2903176,Free and Reduced-price Lunch Table,Free lunch qualified,196,Category Set A,Reported
2024-2025,29,MISSOURI,MO,DeLaSalle Charter High School,01,,MO-048923,2900593,MO-048923-1970048923,290059303176,2903176,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,Jackson County Juvenile Ctr.,01,,MO-048923,2900593,MO-048923-1015048923,290059303436,2903436,Free and Reduced-price Lunch Table,No Category Codes,3,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,Jackson County Juvenile Ctr.,01,,MO-048923,2900593,MO-048923-1015048923,290059303436,2903436,Direct Certification,Not Applicable,3,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,Jackson County Juvenile Ctr.,01,,MO-048923,2900593,MO-048923-1015048923,290059303436,2903436,Free and Reduced-price Lunch Table,Missing,,Category Set A,Not reported
2024-2025,29,MISSOURI,MO,Jackson County Juvenile Ctr.,01,,MO-048923,2900593,MO-048923-1015048923,290059303436,2903436,Free and Reduced-price Lunch Table,Free lunch qualified,,Category Set A,Suppressed
2024-2025,29,MISSOURI,MO,Jackson County Juvenile Ctr.,01,,MO-048923,2900593,MO-048923-1015048923,290059303436,2903436,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,,Category Set A,Suppressed
2024-2025,29,MISSOURI,MO,Ewing Marion Kauffman Middle,01,,MO-048924,2900597,MO-048924-3930048924,290059703195,2903195,Free and Reduced-price Lunch Table,No Category Codes,559,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,Ewing Marion Kauffman Middle,01,,MO-048924,2900597,MO-048924-3930048924,290059703195,2903195,Direct Certification,Not Applicable,301,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,Ewing Marion Kauffman Middle,01,,MO-048924,2900597,MO-048924-3930048924,290059703195,2903195,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,Ewing Marion Kauffman Middle,01,,MO-048924,2900597,MO-048924-3930048924,290059703195,2903195,Free and Reduced-price Lunch Table,Free lunch qualified,559,Category Set A,Reported
2024-2025,29,MISSOURI,MO,Ewing Marion Kauffman Middle,01,,MO-048924,2900597,MO-048924-3930048924,290059703195,2903195,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,EWING MARION KAUFFMAN HIGH,01,,MO-048924,2900597,MO-048924-1910048924,290059703277,2903277,Free and Reduced-price Lunch Table,No Category Codes,402,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,EWING MARION KAUFFMAN HIGH,01,,MO-048924,2900597,MO-048924-1910048924,290059703277,2903277,Direct Certification,Not Applicable,141,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,EWING MARION KAUFFMAN HIGH,01,,MO-048924,2900597,MO-048924-1910048924,290059703277,2903277,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,EWING MARION KAUFFMAN HIGH,01,,MO-048924,2900597,MO-048924-1910048924,290059703277,2903277,Free and Reduced-price Lunch Table,Free lunch qualified,402,Category Set A,Reported
2024-2025,29,MISSOURI,MO,EWING MARION KAUFFMAN HIGH,01,,MO-048924,2900597,MO-048924-1910048924,290059703277,2903277,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOPE LEADERSHIP ACADEMY,01,,MO-048925,2900601,MO-048925-6985048925,290060103194,2903194,Free and Reduced-price Lunch Table,No Category Codes,108,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HOPE LEADERSHIP ACADEMY,01,,MO-048925,2900601,MO-048925-6985048925,290060103194,2903194,Direct Certification,Not Applicable,78,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HOPE LEADERSHIP ACADEMY,01,,MO-048925,2900601,MO-048925-6985048925,290060103194,2903194,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOPE LEADERSHIP ACADEMY,01,,MO-048925,2900601,MO-048925-6985048925,290060103194,2903194,Free and Reduced-price Lunch Table,Free lunch qualified,108,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOPE LEADERSHIP ACADEMY,01,,MO-048925,2900601,MO-048925-6985048925,290060103194,2903194,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - CENTRAL STREET,01,,MO-048926,2900603,MO-048926-6990048926,290060303201,2903201,Free and Reduced-price Lunch Table,No Category Codes,228,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - CENTRAL STREET,01,,MO-048926,2900603,MO-048926-6990048926,290060303201,2903201,Direct Certification,Not Applicable,129,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - CENTRAL STREET,01,,MO-048926,2900603,MO-048926-6990048926,290060303201,2903201,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - CENTRAL STREET,01,,MO-048926,2900603,MO-048926-6990048926,290060303201,2903201,Free and Reduced-price Lunch Table,Free lunch qualified,202,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - CENTRAL STREET,01,,MO-048926,2900603,MO-048926-6990048926,290060303201,2903201,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,26,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - QUALITY HILL,01,,MO-048926,2900603,MO-048926-6905048926,290060303295,2903295,Free and Reduced-price Lunch Table,No Category Codes,135,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - QUALITY HILL,01,,MO-048926,2900603,MO-048926-6905048926,290060303295,2903295,Direct Certification,Not Applicable,79,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - QUALITY HILL,01,,MO-048926,2900603,MO-048926-6905048926,290060303295,2903295,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - QUALITY HILL,01,,MO-048926,2900603,MO-048926-6905048926,290060303295,2903295,Free and Reduced-price Lunch Table,Free lunch qualified,130,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - QUALITY HILL,01,,MO-048926,2900603,MO-048926-6905048926,290060303295,2903295,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,5,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS PREPARATORY ACADEMY,01,,MO-048926,2900603,MO-048926-1905048926,290060303311,2903311,Free and Reduced-price Lunch Table,No Category Codes,201,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS PREPARATORY ACADEMY,01,,MO-048926,2900603,MO-048926-1905048926,290060303311,2903311,Direct Certification,Not Applicable,89,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS PREPARATORY ACADEMY,01,,MO-048926,2900603,MO-048926-1905048926,290060303311,2903311,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS PREPARATORY ACADEMY,01,,MO-048926,2900603,MO-048926-1905048926,290060303311,2903311,Free and Reduced-price Lunch Table,Free lunch qualified,187,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS PREPARATORY ACADEMY,01,,MO-048926,2900603,MO-048926-1905048926,290060303311,2903311,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,14,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMY FOR INTEGRATED ARTS,01,,MO-048927,2900604,MO-048927-6995048927,290060403209,2903209,Free and Reduced-price Lunch Table,No Category Codes,244,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ACADEMY FOR INTEGRATED ARTS,01,,MO-048927,2900604,MO-048927-6995048927,290060403209,2903209,Direct Certification,Not Applicable,128,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ACADEMY FOR INTEGRATED ARTS,01,,MO-048927,2900604,MO-048927-6995048927,290060403209,2903209,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMY FOR INTEGRATED ARTS,01,,MO-048927,2900604,MO-048927-6995048927,290060403209,2903209,Free and Reduced-price Lunch Table,Free lunch qualified,244,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMY FOR INTEGRATED ARTS,01,,MO-048927,2900604,MO-048927-6995048927,290060403209,2903209,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ELEMENTARY SCHOOL,01,,MO-048928,2900612,MO-048928-6905048928,290061203286,2903286,Free and Reduced-price Lunch Table,No Category Codes,168,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ELEMENTARY SCHOOL,01,,MO-048928,2900612,MO-048928-6905048928,290061203286,2903286,Direct Certification,Not Applicable,101,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ELEMENTARY SCHOOL,01,,MO-048928,2900612,MO-048928-6905048928,290061203286,2903286,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ELEMENTARY SCHOOL,01,,MO-048928,2900612,MO-048928-6905048928,290061203286,2903286,Free and Reduced-price Lunch Table,Free lunch qualified,146,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ELEMENTARY SCHOOL,01,,MO-048928,2900612,MO-048928-6905048928,290061203286,2903286,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,22,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MIDDLE SCHOOL,01,,MO-048928,2900612,MO-048928-3905048928,290061203365,2903365,Free and Reduced-price Lunch Table,No Category Codes,66,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MIDDLE SCHOOL,01,,MO-048928,2900612,MO-048928-3905048928,290061203365,2903365,Direct Certification,Not Applicable,36,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MIDDLE SCHOOL,01,,MO-048928,2900612,MO-048928-3905048928,290061203365,2903365,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MIDDLE SCHOOL,01,,MO-048928,2900612,MO-048928-3905048928,290061203365,2903365,Free and Reduced-price Lunch Table,Free lunch qualified,60,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MIDDLE SCHOOL,01,,MO-048928,2900612,MO-048928-3905048928,290061203365,2903365,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,6,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KANSAS CITY GIRLS PREP MIDDLE,01,,MO-048929,2900615,MO-048929-3945048929,290061503364,2903364,Free and Reduced-price Lunch Table,No Category Codes,111,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KANSAS CITY GIRLS PREP MIDDLE,01,,MO-048929,2900615,MO-048929-3945048929,290061503364,2903364,Direct Certification,Not Applicable,54,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KANSAS CITY GIRLS PREP MIDDLE,01,,MO-048929,2900615,MO-048929-3945048929,290061503364,2903364,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KANSAS CITY GIRLS PREP MIDDLE,01,,MO-048929,2900615,MO-048929-3945048929,290061503364,2903364,Free and Reduced-price Lunch Table,Free lunch qualified,111,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KANSAS CITY GIRLS PREP MIDDLE,01,,MO-048929,2900615,MO-048929-3945048929,290061503364,2903364,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ARCHIE ELEMENTARY,01,,MO-019139,2903200,MO-019139-4020019139,290320000024,2900024,Free and Reduced-price Lunch Table,No Category Codes,101,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ARCHIE ELEMENTARY,01,,MO-019139,2903200,MO-019139-4020019139,290320000024,2900024,Direct Certification,Not Applicable,37,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ARCHIE ELEMENTARY,01,,MO-019139,2903200,MO-019139-4020019139,290320000024,2900024,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ARCHIE ELEMENTARY,01,,MO-019139,2903200,MO-019139-4020019139,290320000024,2900024,Free and Reduced-price Lunch Table,Free lunch qualified,87,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ARCHIE ELEMENTARY,01,,MO-019139,2903200,MO-019139-4020019139,290320000024,2900024,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,14,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ARCHIE HIGH SCHOOL,01,,MO-019139,2903200,MO-019139-1050019139,290320000025,2900025,Free and Reduced-price Lunch Table,No Category Codes,99,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ARCHIE HIGH SCHOOL,01,,MO-019139,2903200,MO-019139-1050019139,290320000025,2900025,Direct Certification,Not Applicable,30,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ARCHIE HIGH SCHOOL,01,,MO-019139,2903200,MO-019139-1050019139,290320000025,2900025,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ARCHIE HIGH SCHOOL,01,,MO-019139,2903200,MO-019139-1050019139,290320000025,2900025,Free and Reduced-price Lunch Table,Free lunch qualified,87,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ARCHIE HIGH SCHOOL,01,,MO-019139,2903200,MO-019139-1050019139,290320000025,2900025,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,12,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CAMBRIDGE ELEM.,01,,MO-019152,2904620,MO-019152-4020019152,290462000051,2900051,Free and Reduced-price Lunch Table,No Category Codes,310,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CAMBRIDGE ELEM.,01,,MO-019152,2904620,MO-019152-4020019152,290462000051,2900051,Direct Certification,Not Applicable,127,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CAMBRIDGE ELEM.,01,,MO-019152,2904620,MO-019152-4020019152,290462000051,2900051,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CAMBRIDGE ELEM.,01,,MO-019152,2904620,MO-019152-4020019152,290462000051,2900051,Free and Reduced-price Lunch Table,Free lunch qualified,250,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CAMBRIDGE ELEM.,01,,MO-019152,2904620,MO-019152-4020019152,290462000051,2900051,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,60,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GLADDEN ELEM.,01,,MO-019152,2904620,MO-019152-4060019152,290462000052,2900052,Free and Reduced-price Lunch Table,No Category Codes,224,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GLADDEN ELEM.,01,,MO-019152,2904620,MO-019152-4060019152,290462000052,2900052,Direct Certification,Not Applicable,109,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GLADDEN ELEM.,01,,MO-019152,2904620,MO-019152-4060019152,290462000052,2900052,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GLADDEN ELEM.,01,,MO-019152,2904620,MO-019152-4060019152,290462000052,2900052,Free and Reduced-price Lunch Table,Free lunch qualified,181,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GLADDEN ELEM.,01,,MO-019152,2904620,MO-019152-4060019152,290462000052,2900052,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,43,Category Set A,Reported
2024-2025,29,MISSOURI,MO,Wilckens STEAM Acad @Hillcrest,01,,MO-019152,2904620,MO-019152-4040019152,290462000053,2900053,Free and Reduced-price Lunch Table,No Category Codes,234,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,Wilckens STEAM Acad @Hillcrest,01,,MO-019152,2904620,MO-019152-4040019152,290462000053,2900053,Direct Certification,Not Applicable,63,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,Wilckens STEAM Acad @Hillcrest,01,,MO-019152,2904620,MO-019152-4040019152,290462000053,2900053,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,Wilckens STEAM Acad @Hillcrest,01,,MO-019152,2904620,MO-019152-4040019152,290462000053,2900053,Free and Reduced-price Lunch Table,Free lunch qualified,149,Category Set A,Reported
2024-2025,29,MISSOURI,MO,Wilckens STEAM Acad @Hillcrest,01,,MO-019152,2904620,MO-019152-4040019152,290462000053,2900053,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,85,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BELTON HIGH,01,,MO-019152,2904620,MO-019152-1050019152,290462000055,2900055,Free and Reduced-price Lunch Table,No Category Codes,659,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BELTON HIGH,01,,MO-019152,2904620,MO-019152-1050019152,290462000055,2900055,Direct Certification,Not Applicable,180,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BELTON HIGH,01,,MO-019152,2904620,MO-019152-1050019152,290462000055,2900055,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BELTON HIGH,01,,MO-019152,2904620,MO-019152-1050019152,290462000055,2900055,Free and Reduced-price Lunch Table,Free lunch qualified,459,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BELTON HIGH,01,,MO-019152,2904620,MO-019152-1050019152,290462000055,2900055,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,200,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MILL CREEK UPPER ELEM.,01,,MO-019152,2904620,MO-019152-4080019152,290462002724,2902724,Free and Reduced-price Lunch Table,No Category Codes,269,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MILL CREEK UPPER ELEM.,01,,MO-019152,2904620,MO-019152-4080019152,290462002724,2902724,Direct Certification,Not Applicable,89,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MILL CREEK UPPER ELEM.,01,,MO-019152,2904620,MO-019152-4080019152,290462002724,2902724,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MILL CREEK UPPER ELEM.,01,,MO-019152,2904620,MO-019152-4080019152,290462002724,2902724,Free and Reduced-price Lunch Table,Free lunch qualified,216,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MILL CREEK UPPER ELEM.,01,,MO-019152,2904620,MO-019152-4080019152,290462002724,2902724,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,53,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GRACE EARLY CHILD.  ED. CTR.,01,,MO-019152,2904620,MO-019152-7500019152,290462002725,2902725,Free and Reduced-price Lunch Table,No Category Codes,116,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GRACE EARLY CHILD.  ED. CTR.,01,,MO-019152,2904620,MO-019152-7500019152,290462002725,2902725,Direct Certification,Not Applicable,50,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GRACE EARLY CHILD.  ED. CTR.,01,,MO-019152,2904620,MO-019152-7500019152,290462002725,2902725,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GRACE EARLY CHILD.  ED. CTR.,01,,MO-019152,2904620,MO-019152-7500019152,290462002725,2902725,Free and Reduced-price Lunch Table,Free lunch qualified,87,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GRACE EARLY CHILD.  ED. CTR.,01,,MO-019152,2904620,MO-019152-7500019152,290462002725,2902725,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,29,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KENTUCKY TRAIL ELEM.,01,,MO-019152,2904620,MO-019152-4090019152,290462002988,2902988,Free and Reduced-price Lunch Table,No Category Codes,181,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KENTUCKY TRAIL ELEM.,01,,MO-019152,2904620,MO-019152-4090019152,290462002988,2902988,Direct Certification,Not Applicable,81,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KENTUCKY TRAIL ELEM.,01,,MO-019152,2904620,MO-019152-4090019152,290462002988,2902988,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KENTUCKY TRAIL ELEM.,01,,MO-019152,2904620,MO-019152-4090019152,290462002988,2902988,Free and Reduced-price Lunch Table,Free lunch qualified,150,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KENTUCKY TRAIL ELEM.,01,,MO-019152,2904620,MO-019152-4090019152,290462002988,2902988,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,31,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BELTON MIDDLE SCHOOL,01,,MO-019152,2904620,MO-019152-1055019152,290462003025,2903025,Free and Reduced-price Lunch Table,No Category Codes,343,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BELTON MIDDLE SCHOOL,01,,MO-019152,2904620,MO-019152-1055019152,290462003025,2903025,Direct Certification,Not Applicable,111,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BELTON MIDDLE SCHOOL,01,,MO-019152,2904620,MO-019152-1055019152,290462003025,2903025,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BELTON MIDDLE SCHOOL,01,,MO-019152,2904620,MO-019152-1055019152,290462003025,2903025,Free and Reduced-price Lunch Table,Free lunch qualified,257,Category Set A,Reported
