SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,TEACHERS,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,Argentine Middle,01,,KS-D0500,2007950,KS-D0500-8320,200795001417,2001417,38.18,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Rosedale Middle,01,,KS-D0500,2007950,KS-D0500-8321,200795001418,2001418,35.41,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Sumner Academy of Arts & Science,01,,KS-D0500,2007950,KS-D0500-8322,200795001419,2001419,61.30,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Wyandotte High,01,,KS-D0500,2007950,KS-D0500-8323,200795001420,2001420,99.63,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Arrowhead Middle,01,,KS-D0500,2007950,KS-D0500-8324,200795001421,2001421,29.44,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,J C Harmon High,01,,KS-D0500,2007950,KS-D0500-8327,200795001423,2001423,71.47,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,F L Schlagle High,01,,KS-D0500,2007950,KS-D0500-8329,200795001425,2001425,52.54,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Claude A Huyck Elem,01,,KS-D0500,2007950,KS-D0500-8330,200795001426,2001426,19.32,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,D D Eisenhower Middle,01,,KS-D0500,2007950,KS-D0500-8331,200795001427,2001427,36.87,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Hazel Grove Elem,01,,KS-D0500,2007950,KS-D0500-8332,200795001428,2001428,33.78,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,John F Kennedy Elem,01,,KS-D0500,2007950,KS-D0500-8340,200795001429,2001429,25.33,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lindbergh Elem,01,,KS-D0500,2007950,KS-D0500-8342,200795001430,2001430,17.91,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Stony Point South,01,,KS-D0500,2007950,KS-D0500-8346,200795001431,2001431,16.68,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Stony Point North,01,,KS-D0500,2007950,KS-D0500-8348,200795001432,2001432,27.68,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Washington High,01,,KS-D0500,2007950,KS-D0500-8350,200795001433,2001433,65.39,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Welborn Elem,01,,KS-D0500,2007950,KS-D0500-8352,200795001434,2001434,34.50,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,M E Pearson Elem,01,,KS-D0500,2007950,KS-D0500-8358,200795001437,2001437,42.75,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Whittier Elem,01,,KS-D0500,2007950,KS-D0500-8313,200795001714,2001714,36.76,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,McKinley Elementary School,01,,KS-D0500,2007950,KS-D0500-8281,200795001778,2001778,21.25,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Bridges/Wyandot Academy,01,,KS-D0500,2007950,KS-D0500-8406,200795002091,2002091,3.37,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Alfred Fairfax Academy,01,,KS-D0500,2007950,KS-D0500-8402,200795002094,2002094,6.97,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,500 Reach,01,,KS-D0500,2007950,KS-D0500-8403,200795002097,2002097,,Education Unit Total,Missing
2024-2025,20,KANSAS,KS,Gloria Willis Middle School,01,,KS-D0500,2007950,KS-D0500-8407,200795002112,2002112,39.26,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lowell Brune Elementary School,01,,KS-D0500,2007950,KS-D0500-8408,200795002116,2002116,30.49,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,West Park Elementary School,01,,KS-D0500,2007950,KS-D0500-8409,200795002117,2002117,34.62,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lansing High 9-12,01,,KS-D0469,2008340,KS-D0469-7426,200834001230,2001230,54.25,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lansing Middle 6-8,01,,KS-D0469,2008340,KS-D0469-7420,200834001664,2001664,43.37,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lansing Elementary School,01,,KS-D0469,2008340,KS-D0469-7423,200834001920,2001920,44.84,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lansing Intermediate School,01,,KS-D0469,2008340,KS-D0469-7435,200834002107,2002107,24.03,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lansing Virtual Academy,01,,KS-D0469,2008340,KS-D0469-7471,200834002187,2002187,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Leavenworth Sr High,01,,KS-D0453,2008430,KS-D0453-7020,200843001157,2001157,72.08,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Leavenworth Virtual School,01,,KS-D0453,2008430,KS-D0453-7026,200843001850,2001850,1.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Henry Leavenworth,01,,KS-D0453,2008430,KS-D0453-7028,200843001968,2001968,21.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Anthony Elementary,01,,KS-D0453,2008430,KS-D0453-7029,200843001997,2001997,20.99,Education Unit Total,Reported
