dimension,period,start_year,end_year,enrollment_start,enrollment_end,enrollment_change_abs,enrollment_change_pct,teacher_fte_start,teacher_fte_end,teacher_fte_change_abs,teacher_fte_change_pct,ratio_start,ratio_end,ratio_change_abs,ratio_change_pct,para_fte_start,para_fte_end,para_fte_change_abs,para_fte_change_pct,combined_ratio_start,combined_ratio_end,combined_ratio_change_abs,combined_ratio_change_pct,accounting_decomposition
Locale_Rural,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,48257,47984,-273,-0.57,3217.67,3198.84,-18.83,-0.59,15.0,15.0,0.0,0.02,,,,,,,,,Mixed
Locale_Rural,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,47984,40676,-7308,-15.23,3198.84,2935.3,-263.54,-8.24,15.0,13.86,-1.14,-7.62,,,,,,,,,Mixed
Grade_Primary,Full_Decade_2014_to_2024,2014-2015,2024-2025,162160,152654,-9506,-5.86,10534.84,11297.94,763.1,7.24,15.39,13.51,-1.88,-12.22,,,,,,,,,Joint Staffing Expansion & Enrollment Contraction
Grade_Primary,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,162160,160934,-1226,-0.76,10534.84,11132.42,597.58,5.67,15.39,14.46,-0.94,-6.08,,,,,,,,,Staffing Expansion
Grade_Primary,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,160934,151380,-9554,-5.94,11132.42,11101.57,-30.85,-0.28,14.46,13.64,-0.82,-5.68,,,,,,,,,Enrollment Contraction
Grade_Primary,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,151380,152654,1274,0.84,11101.57,11297.94,196.37,1.77,13.64,13.51,-0.12,-0.91,,,,,,,,,Staffing Expansion
Grade_Middle,Full_Decade_2014_to_2024,2014-2015,2024-2025,68387,68236,-151,-0.22,4626.48,5112.09,485.61,10.5,14.78,13.35,-1.43,-9.7,,,,,,,,,Staffing Expansion
Grade_Middle,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,68387,71677,3290,4.81,4626.48,4855.13,228.65,4.94,14.78,14.76,-0.02,-0.13,,,,,,,,,Staffing Outpaced Enrollment Growth
Grade_Middle,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,71677,71178,-499,-0.7,4855.13,4913.49,58.36,1.2,14.76,14.49,-0.28,-1.88,,,,,,,,,Joint Staffing Expansion & Enrollment Contraction
Grade_Middle,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,71178,68236,-2942,-4.13,4913.49,5112.09,198.6,4.04,14.49,13.35,-1.14,-7.86,,,,,,,,,Joint Staffing Expansion & Enrollment Contraction
