school_year,entity_type,entity_id,entity_name,anomaly_type,metric,value,notes
2014-15 to 2024-25,School,291165003352,EXCELSIOR SPRINGS EAR CHLD CTR,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.43 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291229002592,MCCUNE SCHOOL FOR BOYS,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.46 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291308002866,PRAIRIE BRANCH ELEM.,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.82 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291376002594,EVERETT WADE JUVENILE CTR.,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.13 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291434000651,COMPASS ELEMENTARY,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.30 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291434002979,FREDA MARKLEY EARLY CHILDHOOD,COORDINATE_DISPLACEMENT,Max Coordinate Movement,2.80 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291434003162,HICKMAN MILLS 8TH GRADE CENTER,COORDINATE_DISPLACEMENT,Max Coordinate Movement,3.86 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291434003246,ERVIN ELEMENTARY SCHOOL,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.57 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291434003370,BURKE ACADEMY,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.46 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291548003210,ABRAHAM MALLINSON ELEMENTARY,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.05 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291640000882,WENDELL PHILLIPS ELEMENTARY,COORDINATE_DISPLACEMENT,Max Coordinate Movement,0.58 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291640002375,ROGERS ELEMENTARY,COORDINATE_DISPLACEMENT,Max Coordinate Movement,0.81 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291830000983,LEE'S SUMMIT SR. HIGH,COORDINATE_DISPLACEMENT,Max Coordinate Movement,0.74 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291830002614,HILLTOP SCHOOL,COORDINATE_DISPLACEMENT,Max Coordinate Movement,0.68 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291830002776,WOODLAND ELEM.,COORDINATE_DISPLACEMENT,Max Coordinate Movement,4.57 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291830003010,SUMMIT POINTE ELEM.,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.08 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,291854001665,LIBERTY ACADEMY,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.49 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,292280002662,EARLY EDUCATION CENTER,COORDINATE_DISPLACEMENT,Max Coordinate Movement,3.63 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,292283002817,PLATTE VALLEY COOP.,COORDINATE_DISPLACEMENT,Max Coordinate Movement,7.29 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,292301000141,OAK GROVE PRIMARY,COORDINATE_DISPLACEMENT,Max Coordinate Movement,0.75 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,292355003313,LEAD INNOVATION STUDIO,COORDINATE_DISPLACEMENT,Max Coordinate Movement,4.70 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,292355003368,HOPEWELL ELEMENTARY,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.43 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,292523001455,PLATTE CITY MIDDLE,COORDINATE_DISPLACEMENT,Max Coordinate Movement,0.76 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,292523002024,DONALD D. SIEGRIST ELEM.,COORDINATE_DISPLACEMENT,Max Coordinate Movement,0.78 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,292607000945,NEW TRAILS EARLY LEARNING CTR.,COORDINATE_DISPLACEMENT,Max Coordinate Movement,1.25 miles,School building geocode displaced by > 0.5 miles across the decade.
2014-15 to 2024-25,School,292607001973,RAYTOWN EDUCATION CTR.,COORDINATE_DISPLACEMENT,Max Coordinate Movement,2.29 miles,School building geocode displaced by > 0.5 miles across the decade.
